# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_1_new_setup/FMue_1_new_setup_20231027_043015_00080.dat
#        q_A^-1             I 
  4.084424e-01    1.119458e+04
  4.136756e-01    1.170706e+04
  4.189087e-01    1.172104e+04
  4.241419e-01    1.232025e+04
  4.293751e-01    1.244849e+04
  4.346082e-01    1.235190e+04
  4.398414e-01    1.195686e+04
  4.450745e-01    1.156920e+04
  4.503077e-01    1.138461e+04
  4.555409e-01    1.126310e+04
  4.607740e-01    1.111858e+04
  4.660072e-01    1.093334e+04
  4.712403e-01    1.076357e+04
  4.764735e-01    1.053264e+04
  4.817066e-01    1.028430e+04
  4.869398e-01    1.006352e+04
  4.921730e-01    9.861344e+03
  4.974061e-01    9.638900e+03
  5.026393e-01    9.425228e+03
  5.078724e-01    9.280641e+03
  5.131056e-01    9.108953e+03
  5.183387e-01    8.975611e+03
  5.235719e-01    8.864667e+03
  5.288051e-01    8.773993e+03
  5.340382e-01    8.667019e+03
  5.392714e-01    8.570156e+03
  5.445045e-01    8.471803e+03
  5.497377e-01    8.352318e+03
  5.549709e-01    8.250794e+03
  5.602040e-01    8.191629e+03
  5.654372e-01    8.113511e+03
  5.706703e-01    8.047199e+03
  5.759035e-01    7.992542e+03
  5.811366e-01    7.951970e+03
  5.863698e-01    7.895799e+03
  5.916030e-01    7.851457e+03
  5.968361e-01    7.811549e+03
  6.020693e-01    7.771399e+03
  6.073024e-01    7.737635e+03
  6.125356e-01    7.696250e+03
  6.177688e-01    7.644745e+03
  6.230019e-01    7.595933e+03
  6.282351e-01    7.551957e+03
  6.334682e-01    7.523125e+03
  6.387014e-01    7.498914e+03
  6.439345e-01    7.481756e+03
  6.491677e-01    7.473518e+03
  6.544009e-01    7.458123e+03
  6.596340e-01    7.444542e+03
  6.648672e-01    7.429920e+03
  6.701003e-01    7.411813e+03
  6.753335e-01    7.396725e+03
  6.805666e-01    7.384843e+03
  6.857998e-01    7.377991e+03
  6.910330e-01    7.375335e+03
  6.962661e-01    7.370242e+03
  7.014993e-01    7.356782e+03
  7.067324e-01    7.342073e+03
  7.119656e-01    7.345844e+03
  7.171988e-01    7.375944e+03
  7.224319e-01    7.397199e+03
  7.276651e-01    7.420546e+03
  7.328982e-01    7.404839e+03
  7.381314e-01    7.385431e+03
  7.433645e-01    7.386027e+03
  7.485977e-01    7.382421e+03
  7.538309e-01    7.383272e+03
  7.590640e-01    7.365026e+03
  7.642972e-01    7.342941e+03
  7.695303e-01    7.344876e+03
  7.747635e-01    7.332296e+03
  7.799966e-01    7.362795e+03
  7.852298e-01    7.394810e+03
  7.904630e-01    7.423463e+03
  7.956961e-01    7.442256e+03
  8.009293e-01    7.431274e+03
  8.061624e-01    7.438386e+03
  8.113956e-01    7.459360e+03
  8.166288e-01    7.498455e+03
  8.218619e-01    7.502453e+03
  8.270951e-01    7.501860e+03
  8.323282e-01    7.495957e+03
  8.375614e-01    7.488646e+03
  8.427945e-01    7.492645e+03
  8.480277e-01    7.504069e+03
  8.532609e-01    7.529820e+03
