# == pyFAI calibration ==
# Distance Sample to Detector: 0.2945755399789714 m
# PONI: 2.880e-01, 2.450e-01 m
# Rotations: -0.007291 -0.010887 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.601 mm
# Center: x=1437.174, y=1655.617 pix
# Tilt: 0.751 deg  TiltPlanRot: -56.193 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.9
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_2/FMue_2_20231024_120911_00311.dat
#        q_A^-1             I 
  3.263564e-02             nan
  8.563974e-02             nan
  1.386438e-01             nan
  1.916479e-01             nan
  2.446520e-01    3.805628e+04
  2.976561e-01    2.952053e+04
  3.506602e-01    1.583264e+04
  4.036643e-01    1.109949e+04
  4.566684e-01    9.456078e+03
  5.096725e-01    9.006855e+03
  5.626766e-01    8.693242e+03
  6.156807e-01    8.333380e+03
  6.686848e-01    8.178218e+03
  7.216890e-01    8.216999e+03
  7.746931e-01    8.217303e+03
  8.276972e-01    8.286400e+03
  8.807013e-01    8.349367e+03
  9.337054e-01    8.502303e+03
  9.867095e-01    8.653441e+03
  1.039714e+00    8.910279e+03
  1.092718e+00    9.235707e+03
  1.145722e+00    9.716412e+03
  1.198726e+00    1.030508e+04
  1.251730e+00    1.099858e+04
  1.304734e+00    1.188887e+04
  1.357738e+00    1.275642e+04
  1.410742e+00    1.345100e+04
  1.463746e+00    1.377672e+04
  1.516750e+00    1.373196e+04
  1.569755e+00    1.324025e+04
  1.622759e+00    1.257455e+04
  1.675763e+00    1.172632e+04
  1.728767e+00    1.082736e+04
  1.781771e+00    1.003642e+04
  1.834775e+00    9.364373e+03
  1.887779e+00    8.790373e+03
  1.940783e+00    8.426412e+03
  1.993787e+00    8.102957e+03
  2.046791e+00    7.915939e+03
  2.099796e+00    7.848438e+03
  2.152800e+00    7.847010e+03
  2.205804e+00    7.887993e+03
  2.258808e+00    7.892654e+03
  2.311812e+00    7.867740e+03
  2.364816e+00    7.891577e+03
  2.417820e+00    8.153107e+03
  2.470824e+00    8.762945e+03
  2.523828e+00    9.770212e+03
  2.576832e+00    1.056400e+04
  2.629837e+00    9.498051e+03
  2.682841e+00    8.060506e+03
  2.735845e+00    7.515764e+03
  2.788849e+00    6.896151e+03
  2.841853e+00    6.605665e+03
  2.894857e+00    7.213892e+03
  2.947861e+00    9.152771e+03
  3.000865e+00    1.182842e+04
  3.053869e+00    1.271671e+04
  3.106874e+00    1.093360e+04
  3.159878e+00    9.752785e+03
  3.212882e+00    8.382700e+03
  3.265886e+00    6.425270e+03
  3.318890e+00    5.558435e+03
  3.371894e+00    5.428960e+03
  3.424898e+00    5.659769e+03
  3.477902e+00    6.169615e+03
  3.530906e+00    6.157411e+03
  3.583910e+00    5.469264e+03
  3.636915e+00    5.004593e+03
  3.689919e+00    4.876608e+03
  3.742923e+00    4.878130e+03
  3.795927e+00    4.949051e+03
  3.848931e+00    5.056662e+03
  3.901935e+00    5.224502e+03
  3.954939e+00    5.443235e+03
  4.007943e+00    5.756146e+03
  4.060947e+00    6.152697e+03
  4.113951e+00    6.628866e+03
  4.166956e+00    7.385932e+03
  4.219960e+00    8.200672e+03
  4.272964e+00    7.673012e+03
  4.325968e+00    6.917295e+03
  4.378972e+00    7.385678e+03
  4.431976e+00    9.457991e+03
  4.484980e+00    1.048878e+04
  4.537984e+00    8.304922e+03
  4.590988e+00    6.267744e+03
  4.643992e+00    5.543683e+03
  4.696997e+00    5.350614e+03
  4.750001e+00    5.308736e+03
  4.803005e+00    5.367754e+03
  4.856009e+00    5.595596e+03
  4.909013e+00    6.118008e+03
  4.962017e+00    6.698350e+03
  5.015021e+00    6.461681e+03
  5.068025e+00    5.846692e+03
  5.121029e+00    5.603121e+03
  5.174033e+00    5.442775e+03
  5.227038e+00    5.069946e+03
  5.280042e+00    4.680271e+03
  5.333046e+00    4.427349e+03
  5.386050e+00    4.282360e+03
  5.439054e+00    4.281612e+03
  5.492058e+00    4.245999e+03
  5.545062e+00    3.964185e+03
  5.598066e+00    3.757555e+03
  5.651070e+00    3.705140e+03
  5.704074e+00    3.769325e+03
  5.757079e+00    4.029423e+03
  5.810083e+00    4.491394e+03
  5.863087e+00    4.557432e+03
  5.916091e+00    4.237783e+03
  5.969095e+00    4.106882e+03
  6.022099e+00    4.111234e+03
  6.075103e+00    4.156414e+03
  6.128107e+00    4.048072e+03
  6.181111e+00    3.858235e+03
  6.234115e+00    3.837074e+03
  6.287120e+00    3.909533e+03
  6.340124e+00    3.906769e+03
  6.393128e+00    3.847262e+03
  6.446132e+00    3.768587e+03
  6.499136e+00    3.725973e+03
  6.552140e+00    3.682861e+03
  6.605144e+00    3.683783e+03
  6.658148e+00    3.697261e+03
  6.711152e+00    3.614918e+03
  6.764156e+00    3.495813e+03
  6.817161e+00    3.396014e+03
  6.870165e+00    3.305458e+03
  6.923169e+00    3.253212e+03
  6.976173e+00    3.295738e+03
  7.029177e+00    3.365688e+03
  7.082181e+00    3.388405e+03
  7.135185e+00    3.332079e+03
  7.188189e+00    3.279240e+03
  7.241193e+00    3.284906e+03
  7.294197e+00    3.334387e+03
  7.347202e+00    3.322547e+03
  7.400206e+00    3.281599e+03
  7.453210e+00    3.265755e+03
  7.506214e+00    3.285884e+03
  7.559218e+00    3.330185e+03
  7.612222e+00    3.451267e+03
  7.665226e+00    3.655067e+03
  7.718230e+00    3.837696e+03
  7.771234e+00    3.788589e+03
  7.824239e+00    3.594711e+03
  7.877243e+00    3.433259e+03
  7.930247e+00    3.256763e+03
  7.983251e+00    3.138150e+03
  8.036255e+00    3.097800e+03
  8.089259e+00    3.079957e+03
  8.142263e+00    3.077645e+03
  8.195267e+00    3.071668e+03
  8.248271e+00    3.059622e+03
  8.301275e+00    3.040238e+03
  8.354280e+00    3.027125e+03
  8.407284e+00    3.023388e+03
  8.460288e+00    3.018849e+03
  8.513292e+00    3.016823e+03
  8.566296e+00    3.044223e+03
  8.619300e+00    3.060743e+03
  8.672304e+00    3.034793e+03
  8.725308e+00    3.005645e+03
  8.778312e+00    2.986996e+03
  8.831316e+00    2.977148e+03
  8.884321e+00    2.980604e+03
  8.937325e+00    2.972385e+03
  8.990329e+00    2.927722e+03
  9.043333e+00    2.871025e+03
  9.096337e+00    2.842541e+03
  9.149341e+00    2.828190e+03
  9.202345e+00    2.782786e+03
  9.255349e+00    2.734749e+03
  9.308353e+00    2.705605e+03
  9.361357e+00    2.696401e+03
  9.414362e+00    2.682237e+03
  9.467366e+00    2.682842e+03
  9.520370e+00    2.660127e+03
  9.573374e+00    2.629650e+03
  9.626378e+00    2.617722e+03
  9.679382e+00    2.613539e+03
  9.732386e+00    2.614993e+03
  9.785390e+00    2.610920e+03
  9.838394e+00    2.608634e+03
  9.891398e+00    2.614950e+03
  9.944403e+00    2.614636e+03
  9.997407e+00    2.597184e+03
  1.005041e+01    2.568122e+03
  1.010341e+01    2.527586e+03
  1.015642e+01    2.508945e+03
  1.020942e+01    2.498993e+03
  1.026243e+01    2.496234e+03
  1.031543e+01    2.518694e+03
  1.036844e+01    2.562602e+03
  1.042144e+01    2.579022e+03
  1.047444e+01    2.571906e+03
  1.052745e+01    2.557823e+03
  1.058045e+01    2.541285e+03
  1.063346e+01    2.519407e+03
  1.068646e+01    2.497180e+03
  1.073946e+01    2.475775e+03
  1.079247e+01    2.464996e+03
  1.084547e+01    2.451113e+03
  1.089848e+01    2.449423e+03
  1.095148e+01    2.449000e+03
  1.100448e+01    2.440543e+03
  1.105749e+01    2.438563e+03
  1.111049e+01    2.438847e+03
  1.116350e+01    2.425885e+03
  1.121650e+01    2.412347e+03
  1.126951e+01    2.400915e+03
  1.132251e+01    2.391174e+03
  1.137551e+01    2.381149e+03
  1.142852e+01    2.381994e+03
  1.148152e+01    2.377274e+03
  1.153453e+01    2.374726e+03
  1.158753e+01    2.370115e+03
  1.164053e+01    2.366782e+03
  1.169354e+01    2.367388e+03
  1.174654e+01    2.387319e+03
  1.179955e+01    2.377916e+03
  1.185255e+01    2.368543e+03
  1.190555e+01    2.351624e+03
  1.195856e+01    2.338925e+03
  1.201156e+01    2.330606e+03
  1.206457e+01    2.321311e+03
  1.211757e+01    2.326223e+03
  1.217057e+01    2.326978e+03
  1.222358e+01    2.322574e+03
  1.227658e+01    2.321449e+03
  1.232959e+01    2.319828e+03
  1.238259e+01    2.315690e+03
  1.243560e+01    2.318152e+03
  1.248860e+01    2.317015e+03
  1.254160e+01    2.323152e+03
  1.259461e+01    2.319242e+03
  1.264761e+01    2.309925e+03
  1.270062e+01    2.297003e+03
  1.275362e+01    2.286707e+03
  1.280662e+01    2.274240e+03
  1.285963e+01    2.266965e+03
  1.291263e+01    2.256232e+03
  1.296564e+01    2.244527e+03
  1.301864e+01    2.242272e+03
  1.307164e+01    2.236505e+03
  1.312465e+01    2.230297e+03
  1.317765e+01    2.222732e+03
  1.323066e+01    2.204016e+03
  1.328366e+01    2.194739e+03
  1.333667e+01    2.187265e+03
  1.338967e+01    2.184301e+03
  1.344267e+01    2.195657e+03
  1.349568e+01    2.192936e+03
  1.354868e+01    2.185521e+03
  1.360169e+01    2.173083e+03
  1.365469e+01    2.157469e+03
  1.370769e+01    2.150169e+03
  1.376070e+01    2.138479e+03
  1.381370e+01    2.129700e+03
  1.386671e+01    2.122782e+03
  1.391971e+01    2.115917e+03
  1.397271e+01    2.111964e+03
  1.402572e+01    2.106408e+03
  1.407872e+01    2.099197e+03
  1.413173e+01    2.094490e+03
  1.418473e+01    2.091906e+03
  1.423773e+01    2.086668e+03
  1.429074e+01    2.077038e+03
  1.434374e+01    2.080437e+03
  1.439675e+01    2.073632e+03
  1.444975e+01    2.071286e+03
  1.450276e+01    2.065604e+03
  1.455576e+01    2.058878e+03
  1.460876e+01    2.055791e+03
  1.466177e+01    2.051617e+03
  1.471477e+01    2.049380e+03
  1.476778e+01    2.053395e+03
  1.482078e+01    2.050587e+03
  1.487378e+01    2.046159e+03
  1.492679e+01    2.042788e+03
  1.497979e+01    2.038032e+03
  1.503280e+01    2.038446e+03
  1.508580e+01    2.035206e+03
  1.513880e+01    2.032406e+03
  1.519181e+01    2.038404e+03
  1.524481e+01    2.061389e+03
  1.529782e+01    2.043289e+03
  1.535082e+01    2.032509e+03
  1.540382e+01    2.025786e+03
  1.545683e+01    2.017957e+03
  1.550983e+01    2.021970e+03
  1.556284e+01    2.018013e+03
  1.561584e+01    2.012809e+03
  1.566885e+01    2.006510e+03
  1.572185e+01    2.005648e+03
  1.577485e+01    2.002731e+03
  1.582786e+01    1.997632e+03
  1.588086e+01    1.996402e+03
  1.593387e+01    1.993705e+03
  1.598687e+01    1.991999e+03
  1.603987e+01    1.984328e+03
  1.609288e+01    1.975907e+03
  1.614588e+01    1.968891e+03
  1.619889e+01    1.971253e+03
  1.625189e+01    1.973615e+03
  1.630489e+01    1.970990e+03
  1.635790e+01    1.968360e+03
  1.641090e+01    1.964261e+03
  1.646391e+01    1.957664e+03
  1.651691e+01    1.954914e+03
  1.656992e+01    1.949490e+03
  1.662292e+01    1.944754e+03
  1.667592e+01    1.945119e+03
