# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_2_new_calc/FMue_2_new_20231027_014543_00213.dat
#        q_A^-1             I 
  4.084424e-01    1.103849e+04
  4.136756e-01    1.147242e+04
  4.189087e-01    1.148596e+04
  4.241419e-01    1.212257e+04
  4.293751e-01    1.228632e+04
  4.346082e-01    1.219295e+04
  4.398414e-01    1.179070e+04
  4.450745e-01    1.138210e+04
  4.503077e-01    1.118317e+04
  4.555409e-01    1.104674e+04
  4.607740e-01    1.087651e+04
  4.660072e-01    1.067134e+04
  4.712403e-01    1.049360e+04
  4.764735e-01    1.026155e+04
  4.817066e-01    1.001229e+04
  4.869398e-01    9.783102e+03
  4.921730e-01    9.571385e+03
  4.974061e-01    9.347530e+03
  5.026393e-01    9.135509e+03
  5.078724e-01    8.987116e+03
  5.131056e-01    8.810425e+03
  5.183387e-01    8.677334e+03
  5.235719e-01    8.559888e+03
  5.288051e-01    8.453438e+03
  5.340382e-01    8.325643e+03
  5.392714e-01    8.228091e+03
  5.445045e-01    8.133437e+03
  5.497377e-01    8.032504e+03
  5.549709e-01    7.935981e+03
  5.602040e-01    7.870033e+03
  5.654372e-01    7.780844e+03
  5.706703e-01    7.706574e+03
  5.759035e-01    7.645306e+03
  5.811366e-01    7.601864e+03
  5.863698e-01    7.543440e+03
  5.916030e-01    7.497255e+03
  5.968361e-01    7.467823e+03
  6.020693e-01    7.433088e+03
