# == pyFAI calibration ==
# Distance Sample to Detector: 0.2945755399789714 m
# PONI: 2.880e-01, 2.450e-01 m
# Rotations: -0.007291 -0.010887 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.601 mm
# Center: x=1437.174, y=1655.617 pix
# Tilt: 0.751 deg  TiltPlanRot: -56.193 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.9000000000000002
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_2_third_run/FMue_2_third_20231024_085044_00032.dat
#        q_A^-1             I 
  2.814346e-01    8.146172e+04
  3.339406e-01    4.647778e+04
  3.864466e-01    3.464719e+04
  4.389526e-01    2.862897e+04
  4.914586e-01    2.468162e+04
  5.439646e-01    2.234732e+04
  5.964706e-01    2.072296e+04
  6.489766e-01    1.930821e+04
  7.014826e-01    1.822959e+04
  7.539886e-01    1.724691e+04
  8.064947e-01    1.647181e+04
  8.590007e-01    1.579774e+04
  9.115067e-01    1.529805e+04
  9.640127e-01    1.486500e+04
  1.016519e+00    1.458657e+04
  1.069025e+00    1.446709e+04
  1.121531e+00    1.457407e+04
  1.174037e+00    1.481275e+04
  1.226543e+00    1.529151e+04
  1.279049e+00    1.618469e+04
  1.331555e+00    1.732496e+04
  1.384061e+00    1.779271e+04
  1.436567e+00    1.775554e+04
  1.489073e+00    1.756404e+04
  1.541579e+00    1.710089e+04
  1.594085e+00    1.638556e+04
  1.646591e+00    1.556712e+04
  1.699097e+00    1.456555e+04
  1.751603e+00    1.362603e+04
  1.804109e+00    1.277417e+04
  1.856615e+00    1.208075e+04
  1.909121e+00    1.154921e+04
  1.961627e+00    1.113865e+04
  2.014133e+00    1.087500e+04
  2.066639e+00    1.091077e+04
  2.119145e+00    1.168017e+04
  2.171651e+00    1.311635e+04
  2.224157e+00    1.289320e+04
  2.276663e+00    1.132327e+04
  2.329169e+00    1.044542e+04
  2.381675e+00    1.027051e+04
  2.434181e+00    1.080321e+04
  2.486687e+00    1.315674e+04
  2.539193e+00    1.867546e+04
  2.591699e+00    2.002658e+04
  2.644205e+00    1.470914e+04
  2.696711e+00    1.121627e+04
  2.749217e+00    9.634089e+03
  2.801723e+00    8.405123e+03
  2.854229e+00    7.617125e+03
  2.906735e+00    7.290792e+03
  2.959241e+00    7.243832e+03
  3.011747e+00    7.705193e+03
  3.064253e+00    9.388151e+03
  3.116759e+00    1.152266e+04
  3.169265e+00    1.155842e+04
  3.221771e+00    9.742492e+03
  3.274277e+00    7.555135e+03
  3.326783e+00    6.648226e+03
  3.379289e+00    6.430951e+03
  3.431795e+00    6.328741e+03
  3.484301e+00    6.286512e+03
  3.536807e+00    6.257291e+03
  3.589313e+00    6.232600e+03
  3.641819e+00    6.335962e+03
  3.694325e+00    6.530868e+03
  3.746831e+00    7.012812e+03
  3.799337e+00    7.479304e+03
  3.851843e+00    7.380705e+03
  3.904349e+00    7.450009e+03
  3.956855e+00    8.533248e+03
  4.009361e+00    1.031359e+04
  4.061867e+00    1.041588e+04
  4.114373e+00    8.980169e+03
  4.166879e+00    7.999059e+03
  4.219385e+00    7.616979e+03
  4.271891e+00    7.851929e+03
  4.324397e+00    9.562028e+03
  4.376903e+00    1.324118e+04
  4.429409e+00    1.478798e+04
  4.481915e+00    1.383000e+04
  4.534421e+00    1.093572e+04
  4.586927e+00    8.093261e+03
  4.639433e+00    6.838062e+03
  4.691939e+00    6.411421e+03
  4.744445e+00    6.234018e+03
  4.796951e+00    6.193835e+03
  4.849457e+00    6.308608e+03
  4.901963e+00    6.442526e+03
  4.954469e+00    6.492245e+03
  5.006975e+00    6.701195e+03
  5.059481e+00    7.218364e+03
  5.111987e+00    7.441706e+03
  5.164493e+00    6.899117e+03
  5.216999e+00    6.181901e+03
  5.269505e+00    5.730464e+03
  5.322011e+00    5.567372e+03
  5.374517e+00    5.563534e+03
  5.427023e+00    5.440793e+03
  5.479529e+00    5.361781e+03
  5.532035e+00    5.118200e+03
  5.584541e+00    4.760198e+03
  5.637047e+00    4.588311e+03
  5.689553e+00    4.575010e+03
  5.742059e+00    4.723600e+03
  5.794565e+00    4.942973e+03
  5.847071e+00    5.092622e+03
  5.899577e+00    5.418121e+03
  5.952083e+00    5.856628e+03
  6.004589e+00    5.620348e+03
  6.057095e+00    5.098576e+03
  6.109601e+00    4.884346e+03
  6.162107e+00    4.920528e+03
  6.214613e+00    5.007623e+03
  6.267119e+00    4.908080e+03
  6.319625e+00    4.750539e+03
  6.372131e+00    4.606436e+03
  6.424637e+00    4.437298e+03
  6.477143e+00    4.310544e+03
  6.529649e+00    4.330010e+03
  6.582155e+00    4.429165e+03
  6.634661e+00    4.581496e+03
  6.687167e+00    4.828284e+03
  6.739673e+00    4.951046e+03
  6.792179e+00    4.646633e+03
  6.844685e+00    4.298056e+03
  6.897191e+00    4.159493e+03
  6.949697e+00    4.205924e+03
  7.002203e+00    4.149910e+03
  7.054709e+00    4.115081e+03
  7.107215e+00    4.054744e+03
  7.159721e+00    3.954548e+03
  7.212227e+00    3.882484e+03
  7.264733e+00    3.893342e+03
  7.317239e+00    4.009672e+03
  7.369745e+00    4.183620e+03
  7.422251e+00    4.245776e+03
  7.474757e+00    4.192757e+03
  7.527263e+00    4.303954e+03
  7.579769e+00    4.602045e+03
  7.632275e+00    4.645765e+03
  7.684781e+00    4.463289e+03
  7.737287e+00    4.455557e+03
  7.789793e+00    4.386692e+03
  7.842299e+00    4.181281e+03
  7.894805e+00    4.099227e+03
  7.947311e+00    4.085716e+03
  7.999817e+00    4.177428e+03
  8.052323e+00    4.146881e+03
  8.104829e+00    3.953518e+03
  8.157335e+00    3.772736e+03
  8.209841e+00    3.676710e+03
  8.262347e+00    3.624992e+03
  8.314853e+00    3.574534e+03
  8.367359e+00    3.535540e+03
  8.419865e+00    3.515489e+03
  8.472371e+00    3.523511e+03
  8.524877e+00    3.528879e+03
  8.577383e+00    3.551453e+03
  8.629889e+00    3.538004e+03
  8.682395e+00    3.499834e+03
  8.734901e+00    3.524663e+03
  8.787407e+00    3.547541e+03
  8.839913e+00    3.493716e+03
  8.892419e+00    3.449704e+03
  8.944925e+00    3.444997e+03
  8.997431e+00    3.444936e+03
  9.049937e+00    3.432141e+03
  9.102443e+00    3.454277e+03
  9.154949e+00    3.469576e+03
  9.207455e+00    3.393164e+03
  9.259961e+00    3.298688e+03
  9.312467e+00    3.241270e+03
  9.364973e+00    3.190577e+03
  9.417480e+00    3.154294e+03
  9.469986e+00    3.174388e+03
  9.522492e+00    3.207698e+03
  9.574998e+00    3.241395e+03
  9.627504e+00    3.274846e+03
  9.680010e+00    3.272058e+03
  9.732516e+00    3.242079e+03
  9.785022e+00    3.230614e+03
  9.837528e+00    3.212808e+03
  9.890034e+00    3.160388e+03
  9.942540e+00    3.121413e+03
  9.995046e+00    3.124767e+03
  1.004755e+01    3.138784e+03
  1.010006e+01    3.138686e+03
  1.015256e+01    3.126422e+03
  1.020507e+01    3.048790e+03
  1.025758e+01    2.968297e+03
  1.031008e+01    2.934989e+03
  1.036259e+01    2.940748e+03
  1.041509e+01    2.924691e+03
  1.046760e+01    2.921184e+03
  1.052011e+01    2.933431e+03
  1.057261e+01    2.937624e+03
  1.062512e+01    2.929289e+03
  1.067762e+01    2.901693e+03
  1.073013e+01    2.882085e+03
  1.078264e+01    2.869150e+03
