# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00022.dat
#       2th_deg             I 
  6.762477e-02             nan
  1.715822e-01             nan
  2.755396e-01             nan
  3.794971e-01             nan
  4.834545e-01             nan
  5.874120e-01             nan
  6.913694e-01             nan
  7.953268e-01    9.645622e+03
  8.992843e-01    8.935102e+03
  1.003242e+00    8.089036e+03
  1.107199e+00    7.902679e+03
  1.211157e+00    7.952229e+03
  1.315114e+00    8.155182e+03
  1.419071e+00    9.018471e+03
  1.523029e+00    2.229143e+04
  1.626986e+00    2.407771e+04
  1.730944e+00    1.013014e+04
  1.834901e+00    9.696960e+03
  1.938859e+00    1.017892e+04
  2.042816e+00    9.942981e+03
  2.146774e+00    1.017009e+04
  2.250731e+00    1.080428e+04
  2.354688e+00    1.177965e+04
  2.458646e+00    1.280062e+04
  2.562603e+00    1.364703e+04
  2.666561e+00    1.443972e+04
  2.770518e+00    1.469826e+04
  2.874476e+00    1.466667e+04
  2.978433e+00    1.419683e+04
  3.082390e+00    1.644384e+04
  3.186348e+00    1.763815e+04
  3.290305e+00    1.214454e+04
  3.394263e+00    1.045392e+04
  3.498220e+00    9.693413e+03
  3.602178e+00    9.225313e+03
  3.706135e+00    9.146664e+03
  3.810093e+00    8.589524e+03
  3.914050e+00    7.963775e+03
  4.018007e+00    7.853328e+03
  4.121965e+00    8.062334e+03
  4.225922e+00    8.214666e+03
  4.329880e+00    8.428697e+03
  4.433837e+00    8.101441e+03
  4.537795e+00    1.167805e+04
  4.641752e+00    1.166079e+04
  4.745709e+00    8.061988e+03
  4.849667e+00    8.604838e+03
  4.953624e+00    8.990088e+03
  5.057582e+00    8.591005e+03
  5.161539e+00    1.221329e+04
  5.265497e+00    9.433081e+03
  5.369454e+00    6.042616e+03
  5.473412e+00    5.474947e+03
  5.577369e+00    5.275703e+03
  5.681326e+00    5.339926e+03
  5.785284e+00    6.138125e+03
  5.889241e+00    7.794396e+03
  5.993199e+00    8.875245e+03
  6.097156e+00    1.079506e+04
  6.201114e+00    9.493554e+03
  6.305071e+00    6.128125e+03
  6.409028e+00    5.916703e+03
  6.512986e+00    5.276929e+03
  6.616943e+00    5.058454e+03
  6.720901e+00    4.979540e+03
  6.824858e+00    5.379989e+03
  6.928816e+00    6.306032e+03
  7.032773e+00    5.176505e+03
  7.136731e+00    4.986408e+03
  7.240688e+00    5.417452e+03
  7.344645e+00    5.984224e+03
  7.448603e+00    5.254322e+03
  7.552560e+00    5.262703e+03
  7.656518e+00    6.214747e+03
  7.760475e+00    8.258458e+03
  7.864433e+00    8.457088e+03
  7.968390e+00    7.728634e+03
  8.072347e+00    6.268894e+03
  8.176305e+00    7.136750e+03
  8.280262e+00    7.522750e+03
  8.384220e+00    9.682094e+03
  8.488177e+00    1.184082e+04
  8.592135e+00    1.026462e+04
  8.696092e+00    6.558896e+03
  8.800050e+00    5.268184e+03
  8.904007e+00    5.308684e+03
  9.007964e+00    6.036301e+03
  9.111922e+00    5.740536e+03
  9.215879e+00    5.356041e+03
  9.319837e+00    5.799430e+03
  9.423794e+00    5.677235e+03
  9.527752e+00    5.915498e+03
  9.631709e+00    5.616784e+03
  9.735666e+00    5.171993e+03
  9.839624e+00    5.209369e+03
  9.943581e+00    5.274538e+03
  1.004754e+01    4.823041e+03
  1.015150e+01    4.433487e+03
  1.025545e+01    4.314258e+03
  1.035941e+01    4.565451e+03
  1.046337e+01    4.459745e+03
  1.056733e+01    3.951156e+03
  1.067128e+01    3.973541e+03
  1.077524e+01    3.690312e+03
  1.087920e+01    3.545280e+03
  1.098316e+01    3.666928e+03
  1.108711e+01    3.709778e+03
  1.119107e+01    3.660613e+03
  1.129503e+01    3.865021e+03
  1.139899e+01    3.802584e+03
  1.150294e+01    3.785474e+03
  1.160690e+01    3.763514e+03
  1.171086e+01    3.707200e+03
  1.181482e+01    4.090613e+03
  1.191877e+01    4.419492e+03
  1.202273e+01    4.017596e+03
  1.212669e+01    4.149508e+03
  1.223064e+01    4.057549e+03
  1.233460e+01    3.895556e+03
  1.243856e+01    3.699029e+03
  1.254252e+01    3.721722e+03
  1.264647e+01    3.657271e+03
  1.275043e+01    3.456427e+03
