# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00209.dat
#        q_A^-1             I 
  3.483473e-02             nan
  8.795289e-02             nan
  1.410711e-01             nan
  1.941892e-01             nan
  2.473074e-01             nan
  3.004255e-01             nan
  3.535437e-01             nan
  4.066619e-01    1.117126e+04
  4.597800e-01    1.030774e+04
  5.128982e-01    8.811680e+03
  5.660163e-01    8.055932e+03
  6.191345e-01    7.793942e+03
  6.722527e-01    7.713682e+03
  7.253708e-01    7.779326e+03
  7.784890e-01    7.835911e+03
  8.316071e-01    7.993923e+03
  8.847253e-01    8.124622e+03
  9.378435e-01    8.302521e+03
  9.909616e-01    8.535150e+03
  1.044080e+00    8.851222e+03
  1.097198e+00    9.279363e+03
  1.150316e+00    9.884880e+03
  1.203434e+00    1.058701e+04
  1.256552e+00    1.147842e+04
  1.309671e+00    1.263818e+04
  1.362789e+00    1.372069e+04
  1.415907e+00    1.417423e+04
  1.469025e+00    1.428154e+04
  1.522143e+00    1.415319e+04
  1.575261e+00    1.358286e+04
  1.628380e+00    1.284668e+04
  1.681498e+00    1.191334e+04
  1.734616e+00    1.096580e+04
  1.787734e+00    1.013775e+04
  1.840852e+00    9.423379e+03
  1.893970e+00    8.835723e+03
  1.947089e+00    8.428869e+03
  2.000207e+00    8.112055e+03
  2.053325e+00    8.007973e+03
  2.106443e+00    8.477620e+03
  2.159561e+00    9.637125e+03
  2.212679e+00    9.913483e+03
  2.265797e+00    9.291457e+03
  2.318916e+00    8.514248e+03
  2.372034e+00    7.795020e+03
  2.425152e+00    8.024284e+03
  2.478270e+00    9.485025e+03
  2.531388e+00    1.306973e+04
  2.584506e+00    1.417560e+04
  2.637625e+00    1.066746e+04
  2.690743e+00    8.424388e+03
  2.743861e+00    7.608810e+03
  2.796979e+00    6.359179e+03
  2.850097e+00    5.483834e+03
  2.903215e+00    5.176698e+03
  2.956334e+00    5.109841e+03
  3.009452e+00    5.448976e+03
  3.062570e+00    6.971491e+03
  3.115688e+00    9.246297e+03
  3.168806e+00    8.954962e+03
  3.221924e+00    7.225163e+03
  3.275043e+00    5.700426e+03
  3.328161e+00    4.857498e+03
  3.381279e+00    4.630384e+03
  3.434397e+00    4.641594e+03
  3.487515e+00    4.727875e+03
  3.540633e+00    4.648085e+03
  3.593751e+00    4.569085e+03
  3.646870e+00    4.623806e+03
  3.699988e+00    4.800964e+03
  3.753106e+00    5.136216e+03
  3.806224e+00    5.383024e+03
  3.859342e+00    5.362345e+03
  3.912460e+00    5.594579e+03
  3.965579e+00    6.493318e+03
  4.018697e+00    7.517616e+03
  4.071815e+00    7.454119e+03
  4.124933e+00    6.762222e+03
  4.178051e+00    6.319211e+03
  4.231169e+00    6.169021e+03
  4.284288e+00    6.548121e+03
  4.337406e+00    8.279915e+03
  4.390524e+00    1.053755e+04
  4.443642e+00    1.196850e+04
  4.496760e+00    1.212122e+04
  4.549878e+00    8.466760e+03
  4.602997e+00    5.869029e+03
  4.656115e+00    5.245459e+03
  4.709233e+00    5.043535e+03
  4.762351e+00    4.993966e+03
  4.815469e+00    5.055240e+03
  4.868587e+00    5.192927e+03
  4.921705e+00    5.265700e+03
  4.974824e+00    5.336424e+03
  5.027942e+00    5.505408e+03
  5.081060e+00    5.717090e+03
  5.134178e+00    5.500970e+03
  5.187296e+00    5.035190e+03
  5.240414e+00    4.648400e+03
  5.293533e+00    4.449324e+03
  5.346651e+00    4.373265e+03
  5.399769e+00    4.284533e+03
  5.452887e+00    4.246481e+03
  5.506005e+00    4.124780e+03
  5.559123e+00    3.771175e+03
  5.612242e+00    3.595789e+03
  5.665360e+00    3.559740e+03
  5.718478e+00    3.556413e+03
  5.771596e+00    3.617635e+03
  5.824714e+00    3.706558e+03
  5.877832e+00    3.882103e+03
  5.930951e+00    4.171210e+03
  5.984069e+00    4.185929e+03
  6.037187e+00    3.944772e+03
  6.090305e+00    3.761780e+03
  6.143423e+00    3.744436e+03
  6.196541e+00    3.897138e+03
  6.249660e+00    4.010220e+03
  6.302778e+00    3.870647e+03
  6.355896e+00    3.610963e+03
  6.409014e+00    3.513264e+03
  6.462132e+00    3.452754e+03
  6.515250e+00    3.414060e+03
  6.568368e+00    3.443776e+03
  6.621487e+00    3.514724e+03
  6.674605e+00    3.640933e+03
  6.727723e+00    3.697283e+03
  6.780841e+00    3.515525e+03
  6.833959e+00    3.321811e+03
  6.887077e+00    3.234732e+03
  6.940196e+00    3.210228e+03
  6.993314e+00    3.234289e+03
  7.046432e+00    3.232804e+03
  7.099550e+00    3.162796e+03
  7.152668e+00    3.104146e+03
  7.205786e+00    3.058406e+03
  7.258905e+00    3.050251e+03
  7.312023e+00    3.117074e+03
  7.365141e+00    3.225898e+03
  7.418259e+00    3.266338e+03
  7.471377e+00    3.255652e+03
  7.524495e+00    3.332248e+03
  7.577614e+00    3.488096e+03
  7.630732e+00    3.506108e+03
  7.683850e+00    3.515866e+03
  7.736968e+00    3.585568e+03
  7.790086e+00    3.492503e+03
  7.843204e+00    3.326790e+03
  7.896322e+00    3.204961e+03
  7.949441e+00    3.175369e+03
  8.002559e+00    3.194211e+03
  8.055677e+00    3.148411e+03
  8.108795e+00    3.061110e+03
  8.161913e+00    3.008557e+03
  8.215031e+00    2.964502e+03
  8.268150e+00    2.924461e+03
  8.321268e+00    2.888218e+03
  8.374386e+00    2.865800e+03
  8.427504e+00    2.852256e+03
  8.480622e+00    2.841322e+03
  8.533740e+00    2.801397e+03
  8.586859e+00    2.834579e+03
  8.639977e+00    2.818448e+03
  8.693095e+00    2.807231e+03
  8.746213e+00    2.821050e+03
  8.799331e+00    2.806999e+03
  8.852449e+00    2.778324e+03
  8.905568e+00    2.778941e+03
  8.958686e+00    2.783660e+03
  9.011804e+00    2.779599e+03
  9.064922e+00    2.735866e+03
  9.118040e+00    2.711150e+03
  9.171158e+00    2.688068e+03
  9.224276e+00    2.642291e+03
  9.277395e+00    2.591345e+03
  9.330513e+00    2.561873e+03
  9.383631e+00    2.539277e+03
  9.436749e+00    2.526157e+03
  9.489867e+00    2.543295e+03
  9.542985e+00    2.551788e+03
  9.596104e+00    2.555385e+03
  9.649222e+00    2.563539e+03
  9.702340e+00    2.551595e+03
  9.755458e+00    2.536609e+03
  9.808576e+00    2.533594e+03
  9.861694e+00    2.527214e+03
  9.914813e+00    2.511414e+03
  9.967931e+00    2.490308e+03
  1.002105e+01    2.466868e+03
  1.007417e+01    2.447530e+03
  1.012729e+01    2.433147e+03
  1.018040e+01    2.409722e+03
  1.023352e+01    2.369775e+03
  1.028664e+01    2.333814e+03
  1.033976e+01    2.318107e+03
  1.039288e+01    2.340377e+03
  1.044599e+01    2.332216e+03
  1.049911e+01    2.332805e+03
  1.055223e+01    2.325863e+03
  1.060535e+01    2.329236e+03
  1.065847e+01    2.312883e+03
  1.071158e+01    2.303890e+03
  1.076470e+01    2.294966e+03
  1.081782e+01    2.292166e+03
  1.087094e+01    2.283134e+03
  1.092406e+01    2.295703e+03
  1.097718e+01    2.302790e+03
  1.103029e+01    2.303573e+03
  1.108341e+01    2.291658e+03
  1.113653e+01    2.268679e+03
  1.118965e+01    2.247220e+03
  1.124277e+01    2.233754e+03
  1.129588e+01    2.229428e+03
  1.134900e+01    2.225686e+03
  1.140212e+01    2.234958e+03
  1.145524e+01    2.237964e+03
  1.150836e+01    2.247732e+03
  1.156148e+01    2.242941e+03
  1.161459e+01    2.247665e+03
  1.166771e+01    2.224224e+03
  1.172083e+01    2.223936e+03
  1.177395e+01    2.206245e+03
  1.182707e+01    2.198315e+03
  1.188018e+01    2.198398e+03
  1.193330e+01    2.185969e+03
  1.198642e+01    2.164474e+03
  1.203954e+01    2.144759e+03
  1.209266e+01    2.141080e+03
  1.214578e+01    2.135313e+03
  1.219889e+01    2.144097e+03
  1.225201e+01    2.144402e+03
  1.230513e+01    2.138181e+03
  1.235825e+01    2.133426e+03
  1.241137e+01    2.118387e+03
  1.246448e+01    2.116181e+03
  1.251760e+01    2.109333e+03
  1.257072e+01    2.107080e+03
  1.262384e+01    2.115322e+03
  1.267696e+01    2.101802e+03
  1.273008e+01    2.084356e+03
  1.278319e+01    2.073189e+03
  1.283631e+01    2.063114e+03
  1.288943e+01    2.055945e+03
  1.294255e+01    2.046622e+03
  1.299567e+01    2.044030e+03
  1.304878e+01    2.036820e+03
  1.310190e+01    2.035598e+03
  1.315502e+01    2.030542e+03
  1.320814e+01    2.008771e+03
  1.326126e+01    1.984929e+03
  1.331437e+01    1.977838e+03
  1.336749e+01    1.971420e+03
  1.342061e+01    1.958693e+03
  1.347373e+01    1.979451e+03
  1.352685e+01    1.976713e+03
  1.357997e+01    1.963664e+03
  1.363308e+01    1.952639e+03
  1.368620e+01    1.948544e+03
  1.373932e+01    1.942350e+03
  1.379244e+01    1.935461e+03
  1.384556e+01    1.928993e+03
  1.389867e+01    1.919124e+03
  1.395179e+01    1.909977e+03
  1.400491e+01    1.907316e+03
  1.405803e+01    1.904377e+03
  1.411115e+01    1.897681e+03
  1.416427e+01    1.888568e+03
  1.421738e+01    1.883519e+03
  1.427050e+01    1.874085e+03
  1.432362e+01    1.875453e+03
  1.437674e+01    1.872447e+03
  1.442986e+01    1.862426e+03
  1.448297e+01    1.856317e+03
  1.453609e+01    1.848845e+03
  1.458921e+01    1.839399e+03
  1.464233e+01    1.835478e+03
  1.469545e+01    1.828333e+03
  1.474857e+01    1.810810e+03
  1.480168e+01    1.820760e+03
  1.485480e+01    1.817861e+03
  1.490792e+01    1.810919e+03
  1.496104e+01    1.803989e+03
  1.501416e+01    1.803877e+03
  1.506727e+01    1.798655e+03
  1.512039e+01    1.796120e+03
  1.517351e+01    1.807816e+03
  1.522663e+01    1.821890e+03
  1.527975e+01    1.818945e+03
  1.533286e+01    1.803403e+03
  1.538598e+01    1.794044e+03
  1.543910e+01    1.785783e+03
  1.549222e+01    1.781104e+03
  1.554534e+01    1.778890e+03
  1.559846e+01    1.776992e+03
  1.565157e+01    1.770562e+03
  1.570469e+01    1.764849e+03
  1.575781e+01    1.764217e+03
  1.581093e+01    1.758229e+03
  1.586405e+01    1.756668e+03
  1.591716e+01    1.751592e+03
  1.597028e+01    1.745062e+03
  1.602340e+01    1.729186e+03
  1.607652e+01    1.719391e+03
  1.612964e+01    1.694982e+03
  1.618276e+01    1.684184e+03
  1.623587e+01    1.685734e+03
  1.628899e+01    1.699451e+03
  1.634211e+01    1.698311e+03
  1.639523e+01    1.693926e+03
  1.644835e+01    1.695721e+03
  1.650146e+01    1.690196e+03
  1.655458e+01    1.689440e+03
  1.660770e+01    1.684420e+03
  1.666082e+01    1.679317e+03
  1.671394e+01    1.680418e+03
  1.676706e+01    1.672186e+03
  1.682017e+01    1.684332e+03
  1.687329e+01    1.674853e+03
  1.692641e+01    1.669670e+03
  1.697953e+01    1.663491e+03
  1.703265e+01    1.660573e+03
  1.708576e+01    1.658354e+03
  1.713888e+01    1.649973e+03
  1.719200e+01    1.648486e+03
  1.724512e+01    1.641022e+03
  1.729824e+01    1.641082e+03
  1.735136e+01    1.635141e+03
  1.740447e+01    1.613312e+03
  1.745759e+01    1.621292e+03
  1.751071e+01    1.621049e+03
  1.756383e+01    1.633112e+03
  1.761695e+01    1.616933e+03
  1.767006e+01    1.615724e+03
  1.772318e+01    1.606738e+03
  1.777630e+01    1.605448e+03
  1.782942e+01    1.596278e+03
  1.788254e+01    1.593610e+03
  1.793565e+01    1.589601e+03
  1.798877e+01    1.587304e+03
  1.804189e+01    1.580700e+03
  1.809501e+01    1.576190e+03
  1.814813e+01    1.572311e+03
