# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_4_second/FMue_4_second_20231025_051245_00397.dat
#        q_A^-1             I 
  4.084424e-01    1.292094e+04
  4.136756e-01    1.340939e+04
  4.189087e-01    1.342813e+04
  4.241419e-01    1.408683e+04
  4.293751e-01    1.429415e+04
  4.346082e-01    1.425037e+04
  4.398414e-01    1.389571e+04
  4.450745e-01    1.352656e+04
  4.503077e-01    1.333399e+04
  4.555409e-01    1.317950e+04
  4.607740e-01    1.297159e+04
  4.660072e-01    1.271042e+04
  4.712403e-01    1.248122e+04
  4.764735e-01    1.220253e+04
  4.817066e-01    1.191351e+04
  4.869398e-01    1.165610e+04
  4.921730e-01    1.141216e+04
  4.974061e-01    1.113429e+04
  5.026393e-01    1.087510e+04
  5.078724e-01    1.070023e+04
  5.131056e-01    1.048872e+04
  5.183387e-01    1.032382e+04
  5.235719e-01    1.017925e+04
  5.288051e-01    1.005326e+04
  5.340382e-01    9.903274e+03
  5.392714e-01    9.772997e+03
  5.445045e-01    9.640627e+03
  5.497377e-01    9.499805e+03
  5.549709e-01    9.381038e+03
  5.602040e-01    9.315315e+03
  5.654372e-01    9.217750e+03
  5.706703e-01    9.138607e+03
  5.759035e-01    9.061447e+03
  5.811366e-01    8.988519e+03
  5.863698e-01    8.902923e+03
  5.916030e-01    8.849604e+03
  5.968361e-01    8.816617e+03
  6.020693e-01    8.771214e+03
  6.073024e-01    8.728561e+03
  6.125356e-01    8.677854e+03
  6.177688e-01    8.609451e+03
  6.230019e-01    8.538846e+03
  6.282351e-01    8.477272e+03
  6.334682e-01    8.440376e+03
  6.387014e-01    8.404479e+03
  6.439345e-01    8.372200e+03
  6.491677e-01    8.351204e+03
  6.544009e-01    8.320199e+03
  6.596340e-01    8.301066e+03
  6.648672e-01    8.283798e+03
  6.701003e-01    8.261479e+03
