# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_4_second/FMue_4_second_20231025_051245_00290.dat
#        q_A^-1             I 
  4.084424e-01    1.294688e+04
  4.136756e-01    1.345711e+04
  4.189087e-01    1.347501e+04
  4.241419e-01    1.411199e+04
  4.293751e-01    1.428235e+04
  4.346082e-01    1.420451e+04
  4.398414e-01    1.385048e+04
  4.450745e-01    1.349451e+04
  4.503077e-01    1.331842e+04
  4.555409e-01    1.317800e+04
  4.607740e-01    1.297887e+04
  4.660072e-01    1.273414e+04
  4.712403e-01    1.250390e+04
  4.764735e-01    1.221643e+04
  4.817066e-01    1.191519e+04
  4.869398e-01    1.165569e+04
  4.921730e-01    1.141363e+04
  4.974061e-01    1.114557e+04
  5.026393e-01    1.089188e+04
  5.078724e-01    1.071655e+04
  5.131056e-01    1.049900e+04
  5.183387e-01    1.032883e+04
  5.235719e-01    1.018785e+04
  5.288051e-01    1.006631e+04
  5.340382e-01    9.923567e+03
  5.392714e-01    9.800281e+03
  5.445045e-01    9.672494e+03
  5.497377e-01    9.527486e+03
  5.549709e-01    9.398086e+03
  5.602040e-01    9.328346e+03
  5.654372e-01    9.235062e+03
  5.706703e-01    9.150173e+03
  5.759035e-01    9.070988e+03
  5.811366e-01    9.008058e+03
  5.863698e-01    8.932996e+03
  5.916030e-01    8.880402e+03
  5.968361e-01    8.828722e+03
  6.020693e-01    8.776831e+03
  6.073024e-01    8.726603e+03
  6.125356e-01    8.687864e+03
  6.177688e-01    8.626538e+03
  6.230019e-01    8.558207e+03
  6.282351e-01    8.503792e+03
  6.334682e-01    8.464591e+03
  6.387014e-01    8.427937e+03
  6.439345e-01    8.397042e+03
  6.491677e-01    8.375398e+03
  6.544009e-01    8.351379e+03
  6.596340e-01    8.327879e+03
  6.648672e-01    8.304017e+03
  6.701003e-01    8.276511e+03
  6.753335e-01    8.250431e+03
  6.805666e-01    8.236764e+03
  6.857998e-01    8.221761e+03
  6.910330e-01    8.213287e+03
  6.962661e-01    8.203283e+03
  7.014993e-01    8.187251e+03
  7.067324e-01    8.166405e+03
  7.119656e-01    8.159334e+03
  7.171988e-01    8.176807e+03
  7.224319e-01    8.192843e+03
  7.276651e-01    8.213848e+03
  7.328982e-01    8.198477e+03
  7.381314e-01    8.173094e+03
  7.433645e-01    8.158919e+03
  7.485977e-01    8.150489e+03
  7.538309e-01    8.147687e+03
  7.590640e-01    8.126179e+03
  7.642972e-01    8.102448e+03
  7.695303e-01    8.104482e+03
  7.747635e-01    8.091179e+03
  7.799966e-01    8.112038e+03
  7.852298e-01    8.131245e+03
  7.904630e-01    8.154060e+03
  7.956961e-01    8.167349e+03
  8.009293e-01    8.161341e+03
  8.061624e-01    8.174201e+03
  8.113956e-01    8.194876e+03
  8.166288e-01    8.234420e+03
  8.218619e-01    8.232646e+03
  8.270951e-01    8.229834e+03
  8.323282e-01    8.219487e+03
  8.375614e-01    8.214257e+03
  8.427945e-01    8.223159e+03
  8.480277e-01    8.238289e+03
  8.532609e-01    8.260485e+03
  8.584940e-01    8.264561e+03
  8.637272e-01    8.268380e+03
  8.689603e-01    8.265064e+03
  8.741935e-01    8.263557e+03
  8.794266e-01    8.260192e+03
  8.846598e-01    8.268214e+03
  8.898930e-01    8.290984e+03
  8.951261e-01    8.320460e+03
  9.003593e-01    8.345101e+03
  9.055924e-01    8.374211e+03
  9.108256e-01    8.385281e+03
  9.160588e-01    8.395670e+03
  9.212919e-01    8.399165e+03
  9.265251e-01    8.408013e+03
  9.317582e-01    8.420401e+03
  9.369914e-01    8.432710e+03
  9.422245e-01    8.444319e+03
  9.474577e-01    8.486062e+03
  9.526909e-01    8.517868e+03
  9.579240e-01    8.528379e+03
  9.631572e-01    8.514956e+03
  9.683903e-01    8.513857e+03
  9.736235e-01    8.558548e+03
  9.788567e-01    8.595769e+03
  9.840898e-01    8.617877e+03
  9.893230e-01    8.656832e+03
  9.945561e-01    8.690724e+03
  9.997893e-01    8.706385e+03
  1.005022e+00    8.711865e+03
  1.010256e+00    8.721900e+03
  1.015489e+00    8.753370e+03
  1.020722e+00    8.775537e+03
  1.025955e+00    8.809942e+03
  1.031188e+00    8.860288e+03
  1.036421e+00    8.909211e+03
  1.041655e+00    8.950701e+03
  1.046888e+00    8.979497e+03
  1.052121e+00    9.019565e+03
  1.057354e+00    9.051806e+03
  1.062587e+00    9.090574e+03
  1.067820e+00    9.117563e+03
  1.073053e+00    9.151174e+03
  1.078287e+00    9.190696e+03
  1.083520e+00    9.221312e+03
  1.088753e+00    9.250230e+03
  1.093986e+00    9.303337e+03
  1.099219e+00    9.374945e+03
  1.104452e+00    9.436476e+03
  1.109686e+00    9.514612e+03
  1.114919e+00    9.583563e+03
  1.120152e+00    9.662920e+03
  1.125385e+00    9.708891e+03
  1.130618e+00    9.757079e+03
  1.135851e+00    9.811340e+03
  1.141085e+00    9.868258e+03
  1.146318e+00    9.941194e+03
  1.151551e+00    1.001959e+04
  1.156784e+00    1.006097e+04
  1.162017e+00    1.010773e+04
  1.167250e+00    1.016860e+04
