# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_8/FMue_8_20231025_183210_00213.dat
#        q_A^-1             I 
  4.084424e-01    9.862939e+03
  4.136756e-01    1.013652e+04
  4.189087e-01    1.015676e+04
  4.241419e-01    1.064340e+04
  4.293751e-01    1.081766e+04
  4.346082e-01    1.081083e+04
  4.398414e-01    1.058521e+04
  4.450745e-01    1.033940e+04
  4.503077e-01    1.021305e+04
  4.555409e-01    1.011954e+04
  4.607740e-01    9.994464e+03
  4.660072e-01    9.833777e+03
  4.712403e-01    9.683190e+03
  4.764735e-01    9.491125e+03
  4.817066e-01    9.303308e+03
  4.869398e-01    9.138721e+03
  4.921730e-01    8.988370e+03
  4.974061e-01    8.815210e+03
  5.026393e-01    8.652134e+03
  5.078724e-01    8.545284e+03
  5.131056e-01    8.418240e+03
  5.183387e-01    8.325710e+03
  5.235719e-01    8.249579e+03
  5.288051e-01    8.177492e+03
  5.340382e-01    8.089870e+03
  5.392714e-01    8.018800e+03
  5.445045e-01    7.948809e+03
  5.497377e-01    7.876719e+03
  5.549709e-01    7.815991e+03
  5.602040e-01    7.790886e+03
  5.654372e-01    7.737367e+03
  5.706703e-01    7.689405e+03
  5.759035e-01    7.645785e+03
  5.811366e-01    7.625518e+03
  5.863698e-01    7.600128e+03
  5.916030e-01    7.582437e+03
  5.968361e-01    7.571467e+03
  6.020693e-01    7.560718e+03
  6.073024e-01    7.553736e+03
  6.125356e-01    7.544209e+03
  6.177688e-01    7.510311e+03
  6.230019e-01    7.476521e+03
  6.282351e-01    7.448363e+03
  6.334682e-01    7.431507e+03
  6.387014e-01    7.419191e+03
  6.439345e-01    7.404352e+03
  6.491677e-01    7.401103e+03
  6.544009e-01    7.402607e+03
  6.596340e-01    7.409681e+03
  6.648672e-01    7.420136e+03
  6.701003e-01    7.417511e+03
  6.753335e-01    7.415506e+03
  6.805666e-01    7.417291e+03
  6.857998e-01    7.416936e+03
  6.910330e-01    7.423055e+03
  6.962661e-01    7.428270e+03
  7.014993e-01    7.434838e+03
  7.067324e-01    7.442719e+03
  7.119656e-01    7.456593e+03
  7.171988e-01    7.477531e+03
  7.224319e-01    7.493944e+03
  7.276651e-01    7.529667e+03
  7.328982e-01    7.535122e+03
  7.381314e-01    7.532257e+03
  7.433645e-01    7.532283e+03
  7.485977e-01    7.529829e+03
  7.538309e-01    7.531057e+03
  7.590640e-01    7.519922e+03
  7.642972e-01    7.504917e+03
  7.695303e-01    7.506710e+03
  7.747635e-01    7.496000e+03
  7.799966e-01    7.523783e+03
  7.852298e-01    7.555506e+03
  7.904630e-01    7.582825e+03
  7.956961e-01    7.598531e+03
  8.009293e-01    7.600474e+03
  8.061624e-01    7.625052e+03
  8.113956e-01    7.656236e+03
  8.166288e-01    7.695341e+03
  8.218619e-01    7.698248e+03
  8.270951e-01    7.701513e+03
  8.323282e-01    7.702928e+03
  8.375614e-01    7.708899e+03
  8.427945e-01    7.727191e+03
  8.480277e-01    7.746066e+03
  8.532609e-01    7.766655e+03
  8.584940e-01    7.771167e+03
  8.637272e-01    7.775251e+03
  8.689603e-01    7.774455e+03
  8.741935e-01    7.770180e+03
  8.794266e-01    7.775446e+03
  8.846598e-01    7.798342e+03
  8.898930e-01    7.840077e+03
  8.951261e-01    7.875936e+03
  9.003593e-01    7.903608e+03
  9.055924e-01    7.931533e+03
  9.108256e-01    7.946742e+03
  9.160588e-01    7.953114e+03
  9.212919e-01    7.959246e+03
  9.265251e-01    7.970355e+03
  9.317582e-01    7.999603e+03
  9.369914e-01    8.025083e+03
  9.422245e-01    8.036473e+03
  9.474577e-01    8.072176e+03
  9.526909e-01    8.095879e+03
  9.579240e-01    8.111238e+03
  9.631572e-01    8.111642e+03
  9.683903e-01    8.118460e+03
  9.736235e-01    8.160782e+03
  9.788567e-01    8.195521e+03
  9.840898e-01    8.223432e+03
  9.893230e-01    8.275640e+03
  9.945561e-01    8.318225e+03
  9.997893e-01    8.335234e+03
  1.005022e+00    8.344089e+03
  1.010256e+00    8.360395e+03
  1.015489e+00    8.389085e+03
  1.020722e+00    8.409947e+03
  1.025955e+00    8.438203e+03
  1.031188e+00    8.482134e+03
  1.036421e+00    8.527857e+03
  1.041655e+00    8.573284e+03
  1.046888e+00    8.613182e+03
  1.052121e+00    8.650971e+03
  1.057354e+00    8.687692e+03
  1.062587e+00    8.722054e+03
  1.067820e+00    8.751138e+03
  1.073053e+00    8.775304e+03
  1.078287e+00    8.802141e+03
  1.083520e+00    8.831808e+03
  1.088753e+00    8.865457e+03
  1.093986e+00    8.927744e+03
  1.099219e+00    8.997012e+03
  1.104452e+00    9.053564e+03
  1.109686e+00    9.129507e+03
  1.114919e+00    9.192304e+03
  1.120152e+00    9.259039e+03
  1.125385e+00    9.295372e+03
  1.130618e+00    9.334122e+03
  1.135851e+00    9.384149e+03
  1.141085e+00    9.437582e+03
  1.146318e+00    9.510311e+03
  1.151551e+00    9.599130e+03
  1.156784e+00    9.641716e+03
  1.162017e+00    9.691571e+03
  1.167250e+00    9.764422e+03
  1.172483e+00    9.828408e+03
  1.177717e+00    9.901195e+03
  1.182950e+00    9.976287e+03
  1.188183e+00    1.007392e+04
  1.193416e+00    1.017515e+04
  1.198649e+00    1.025301e+04
  1.203882e+00    1.034246e+04
  1.209116e+00    1.037915e+04
  1.214349e+00    1.043545e+04
  1.219582e+00    1.052197e+04
  1.224815e+00    1.063086e+04
  1.230048e+00    1.073322e+04
  1.235281e+00    1.082574e+04
  1.240515e+00    1.093409e+04
  1.245748e+00    1.102977e+04
  1.250981e+00    1.114616e+04
  1.256214e+00    1.129806e+04
  1.261447e+00    1.141600e+04
  1.266680e+00    1.151048e+04
  1.271913e+00    1.164457e+04
  1.277147e+00    1.178880e+04
  1.282380e+00    1.192237e+04
  1.287613e+00    1.206562e+04
  1.292846e+00    1.224172e+04
  1.298079e+00    1.238347e+04
  1.303312e+00    1.250746e+04
  1.308546e+00    1.265759e+04
  1.313779e+00    1.276025e+04
  1.319012e+00    1.286269e+04
  1.324245e+00    1.296433e+04
  1.329478e+00    1.310738e+04
  1.334711e+00    1.323654e+04
  1.339945e+00    1.337345e+04
  1.345178e+00    1.349475e+04
  1.350411e+00    1.357191e+04
  1.355644e+00    1.365197e+04
  1.360877e+00    1.375033e+04
  1.366110e+00    1.381515e+04
  1.371343e+00    1.383041e+04
  1.376577e+00    1.385364e+04
  1.381810e+00    1.389226e+04
  1.387043e+00    1.395440e+04
  1.392276e+00    1.398028e+04
  1.397509e+00    1.402609e+04
  1.402742e+00    1.405181e+04
  1.407976e+00    1.408037e+04
  1.413209e+00    1.411624e+04
  1.418442e+00    1.410883e+04
  1.423675e+00    1.410981e+04
  1.428908e+00    1.410838e+04
  1.434141e+00    1.408956e+04
  1.439375e+00    1.411923e+04
  1.444608e+00    1.414218e+04
  1.449841e+00    1.421364e+04
  1.455074e+00    1.423375e+04
  1.460307e+00    1.421833e+04
  1.465540e+00    1.420545e+04
  1.470774e+00    1.418054e+04
  1.476007e+00    1.419664e+04
  1.481240e+00    1.420806e+04
  1.486473e+00    1.421850e+04
  1.491706e+00    1.423452e+04
  1.496939e+00    1.424103e+04
  1.502172e+00    1.420933e+04
  1.507406e+00    1.415798e+04
  1.512639e+00    1.412360e+04
  1.517872e+00    1.409645e+04
  1.523105e+00    1.404976e+04
  1.528338e+00    1.400655e+04
  1.533571e+00    1.397424e+04
  1.538805e+00    1.391564e+04
  1.544038e+00    1.386488e+04
  1.549271e+00    1.380011e+04
  1.554504e+00    1.371578e+04
  1.559737e+00    1.364122e+04
  1.564970e+00    1.358595e+04
  1.570204e+00    1.354162e+04
  1.575437e+00    1.346587e+04
  1.580670e+00    1.340558e+04
  1.585903e+00    1.332215e+04
  1.591136e+00    1.324425e+04
  1.596369e+00    1.316837e+04
  1.601602e+00    1.309061e+04
  1.606836e+00    1.302613e+04
  1.612069e+00    1.293991e+04
  1.617302e+00    1.284952e+04
  1.622535e+00    1.277062e+04
  1.627768e+00    1.269887e+04
  1.633001e+00    1.266072e+04
  1.638235e+00    1.259781e+04
  1.643468e+00    1.250834e+04
  1.648701e+00    1.238343e+04
  1.653934e+00    1.227900e+04
  1.659167e+00    1.215203e+04
  1.664400e+00    1.204052e+04
  1.669634e+00    1.195893e+04
  1.674867e+00    1.187979e+04
  1.680100e+00    1.177870e+04
  1.685333e+00    1.169885e+04
  1.690566e+00    1.162103e+04
  1.695799e+00    1.150446e+04
  1.701032e+00    1.137799e+04
  1.706266e+00    1.126576e+04
  1.711499e+00    1.116126e+04
  1.716732e+00    1.104627e+04
  1.721965e+00    1.098700e+04
  1.727198e+00    1.091944e+04
  1.732431e+00    1.083193e+04
  1.737665e+00    1.074478e+04
  1.742898e+00    1.066920e+04
  1.748131e+00    1.055272e+04
  1.753364e+00    1.046179e+04
  1.758597e+00    1.037521e+04
  1.763830e+00    1.030902e+04
  1.769064e+00    1.022822e+04
  1.774297e+00    1.014116e+04
  1.779530e+00    1.005417e+04
  1.784763e+00    9.944709e+03
  1.789996e+00    9.848006e+03
  1.795229e+00    9.777837e+03
  1.800462e+00    9.697152e+03
  1.805696e+00    9.624911e+03
  1.810929e+00    9.577218e+03
  1.816162e+00    9.504526e+03
  1.821395e+00    9.431259e+03
  1.826628e+00    9.389649e+03
  1.831861e+00    9.353492e+03
  1.837095e+00    9.276911e+03
  1.842328e+00    9.208281e+03
  1.847561e+00    9.145183e+03
  1.852794e+00    9.062612e+03
  1.858027e+00    8.968773e+03
  1.863260e+00    8.884203e+03
  1.868494e+00    8.841854e+03
  1.873727e+00    8.793422e+03
  1.878960e+00    8.771162e+03
  1.884193e+00    8.725085e+03
  1.889426e+00    8.656592e+03
  1.894659e+00    8.595177e+03
  1.899892e+00    8.548147e+03
  1.905126e+00    8.507083e+03
  1.910359e+00    8.479409e+03
  1.915592e+00    8.442256e+03
  1.920825e+00    8.395592e+03
  1.926058e+00    8.349296e+03
  1.931291e+00    8.298999e+03
  1.936525e+00    8.279068e+03
  1.941758e+00    8.223039e+03
  1.946991e+00    8.177348e+03
  1.952224e+00    8.131129e+03
  1.957457e+00    8.109135e+03
  1.962690e+00    8.082774e+03
  1.967924e+00    8.060601e+03
  1.973157e+00    8.025523e+03
  1.978390e+00    7.972730e+03
  1.983623e+00    7.941699e+03
  1.988856e+00    7.933172e+03
  1.994089e+00    7.913778e+03
  1.999322e+00    7.885364e+03
  2.004556e+00    7.849035e+03
  2.009789e+00    7.826035e+03
  2.015022e+00    7.807340e+03
  2.020255e+00    7.803916e+03
  2.025488e+00    7.787666e+03
  2.030721e+00    7.773809e+03
  2.035955e+00    7.762189e+03
  2.041188e+00    7.764587e+03
  2.046421e+00    7.765363e+03
  2.051654e+00    7.759154e+03
  2.056887e+00    7.766597e+03
  2.062120e+00    7.779918e+03
  2.067354e+00    7.799973e+03
  2.072587e+00    7.824734e+03
  2.077820e+00    7.859466e+03
  2.083053e+00    7.909989e+03
  2.088286e+00    7.965907e+03
  2.093519e+00    8.012339e+03
  2.098752e+00    8.078271e+03
  2.103986e+00    8.161771e+03
  2.109219e+00    8.235435e+03
  2.114452e+00    8.302934e+03
  2.119685e+00    8.405510e+03
  2.124918e+00    8.515358e+03
  2.130151e+00    8.627846e+03
  2.135385e+00    8.766370e+03
  2.140618e+00    8.902256e+03
  2.145851e+00    9.022926e+03
  2.151084e+00    9.163794e+03
  2.156317e+00    9.318707e+03
  2.161550e+00    9.437046e+03
  2.166784e+00    9.531747e+03
  2.172017e+00    9.617250e+03
  2.177250e+00    9.699673e+03
  2.182483e+00    9.747195e+03
  2.187716e+00    9.794464e+03
  2.192949e+00    9.795196e+03
  2.198182e+00    9.769245e+03
  2.203416e+00    9.700573e+03
  2.208649e+00    9.614843e+03
  2.213882e+00    9.517641e+03
  2.219115e+00    9.440172e+03
  2.224348e+00    9.312286e+03
  2.229581e+00    9.179680e+03
  2.234815e+00    9.048148e+03
  2.240048e+00    8.882246e+03
  2.245281e+00    8.716260e+03
  2.250514e+00    8.587123e+03
  2.255747e+00    8.462482e+03
  2.260980e+00    8.312087e+03
  2.266214e+00    8.186639e+03
  2.271447e+00    8.079784e+03
  2.276680e+00    7.957738e+03
  2.281913e+00    7.853896e+03
  2.287146e+00    7.774008e+03
  2.292379e+00    7.706355e+03
  2.297612e+00    7.625985e+03
  2.302846e+00    7.571589e+03
  2.308079e+00    7.519396e+03
  2.313312e+00    7.460008e+03
  2.318545e+00    7.414284e+03
  2.323778e+00    7.363340e+03
  2.329011e+00    7.333726e+03
  2.334245e+00    7.305131e+03
  2.339478e+00    7.292424e+03
  2.344711e+00    7.278821e+03
  2.349944e+00    7.254427e+03
  2.355177e+00    7.235598e+03
  2.360410e+00    7.215987e+03
  2.365644e+00    7.201919e+03
  2.370877e+00    7.196555e+03
  2.376110e+00    7.206878e+03
  2.381343e+00    7.233767e+03
  2.386576e+00    7.264127e+03
  2.391809e+00    7.291089e+03
  2.397042e+00    7.321443e+03
  2.402276e+00    7.352385e+03
  2.407509e+00    7.386458e+03
  2.412742e+00    7.429908e+03
  2.417975e+00    7.484156e+03
  2.423208e+00    7.551987e+03
  2.428441e+00    7.606642e+03
  2.433675e+00    7.702179e+03
  2.438908e+00    7.802761e+03
  2.444141e+00    7.895747e+03
  2.449374e+00    8.009814e+03
  2.454607e+00    8.183208e+03
  2.459840e+00    8.356614e+03
  2.465074e+00    8.530883e+03
  2.470307e+00    8.770995e+03
  2.475540e+00    9.039006e+03
  2.480773e+00    9.302352e+03
  2.486006e+00    9.623049e+03
  2.491239e+00    9.983161e+03
  2.496472e+00    1.033241e+04
  2.501706e+00    1.073039e+04
  2.506939e+00    1.126611e+04
  2.512172e+00    1.177081e+04
  2.517405e+00    1.224763e+04
  2.522638e+00    1.281478e+04
  2.527871e+00    1.336068e+04
  2.533105e+00    1.385581e+04
  2.538338e+00    1.441806e+04
  2.543571e+00    1.492157e+04
  2.548804e+00    1.531872e+04
  2.554037e+00    1.565938e+04
  2.559270e+00    1.597526e+04
  2.564504e+00    1.617226e+04
  2.569737e+00    1.626527e+04
  2.574970e+00    1.619093e+04
  2.580203e+00    1.599230e+04
  2.585436e+00    1.575931e+04
  2.590669e+00    1.542963e+04
  2.595902e+00    1.499265e+04
  2.601136e+00    1.456948e+04
  2.606369e+00    1.411451e+04
  2.611602e+00    1.354982e+04
  2.616835e+00    1.302319e+04
  2.622068e+00    1.255551e+04
  2.627301e+00    1.200412e+04
  2.632535e+00    1.148374e+04
  2.637768e+00    1.105802e+04
  2.643001e+00    1.060758e+04
  2.648234e+00    1.014436e+04
  2.653467e+00    9.797627e+03
  2.658700e+00    9.505640e+03
  2.663934e+00    9.190880e+03
  2.669167e+00    8.907895e+03
  2.674400e+00    8.691980e+03
  2.679633e+00    8.475534e+03
  2.684866e+00    8.272932e+03
  2.690099e+00    8.124381e+03
  2.695332e+00    7.985924e+03
  2.700566e+00    7.837927e+03
  2.705799e+00    7.716202e+03
  2.711032e+00    7.595245e+03
  2.716265e+00    7.464087e+03
  2.721498e+00    7.349362e+03
  2.726731e+00    7.264117e+03
  2.731965e+00    7.155250e+03
  2.737198e+00    7.027983e+03
  2.742431e+00    6.928506e+03
  2.747664e+00    6.816099e+03
  2.752897e+00    6.686079e+03
  2.758130e+00    6.565830e+03
  2.763364e+00    6.443255e+03
  2.768597e+00    6.301870e+03
  2.773830e+00    6.165779e+03
  2.779063e+00    6.054753e+03
  2.784296e+00    5.931208e+03
  2.789529e+00    5.805411e+03
  2.794762e+00    5.699361e+03
  2.799996e+00    5.594811e+03
  2.805229e+00    5.496302e+03
  2.810462e+00    5.413931e+03
  2.815695e+00    5.343535e+03
  2.820928e+00    5.273891e+03
  2.826161e+00    5.212123e+03
  2.831395e+00    5.161382e+03
  2.836628e+00    5.106177e+03
  2.841861e+00    5.062685e+03
  2.847094e+00    5.039793e+03
  2.852327e+00    5.018994e+03
  2.857560e+00    4.984338e+03
  2.862794e+00    4.951055e+03
  2.868027e+00    4.924619e+03
  2.873260e+00    4.898300e+03
  2.878493e+00    4.885764e+03
  2.883726e+00    4.880584e+03
  2.888959e+00    4.875687e+03
  2.894192e+00    4.853982e+03
  2.899426e+00    4.830825e+03
  2.904659e+00    4.814477e+03
  2.909892e+00    4.809759e+03
  2.915125e+00    4.809312e+03
  2.920358e+00    4.811214e+03
  2.925591e+00    4.806244e+03
  2.930825e+00    4.805615e+03
  2.936058e+00    4.803540e+03
  2.941291e+00    4.802876e+03
  2.946524e+00    4.806642e+03
  2.951757e+00    4.812878e+03
  2.956990e+00    4.826401e+03
  2.962224e+00    4.843258e+03
  2.967457e+00    4.861866e+03
  2.972690e+00    4.879949e+03
  2.977923e+00    4.906427e+03
  2.983156e+00    4.933377e+03
  2.988389e+00    4.961357e+03
  2.993622e+00    4.994490e+03
  2.998856e+00    5.041277e+03
  3.004089e+00    5.093143e+03
  3.009322e+00    5.169991e+03
  3.014555e+00    5.263822e+03
  3.019788e+00    5.353652e+03
  3.025021e+00    5.442054e+03
  3.030255e+00    5.542024e+03
  3.035488e+00    5.673033e+03
  3.040721e+00    5.815964e+03
  3.045954e+00    5.970313e+03
  3.051187e+00    6.162993e+03
  3.056420e+00    6.351896e+03
  3.061654e+00    6.538910e+03
  3.066887e+00    6.739143e+03
  3.072120e+00    6.967511e+03
  3.077353e+00    7.174498e+03
  3.082586e+00    7.377204e+03
  3.087819e+00    7.608848e+03
  3.093052e+00    7.816232e+03
  3.098286e+00    8.021039e+03
  3.103519e+00    8.245197e+03
  3.108752e+00    8.450847e+03
  3.113985e+00    8.621111e+03
  3.119218e+00    8.781570e+03
  3.124451e+00    8.946691e+03
  3.129685e+00    9.073872e+03
  3.134918e+00    9.185498e+03
  3.140151e+00    9.310095e+03
  3.145384e+00    9.392828e+03
  3.150617e+00    9.441363e+03
  3.155850e+00    9.454763e+03
  3.161084e+00    9.426778e+03
  3.166317e+00    9.375735e+03
  3.171550e+00    9.297696e+03
  3.176783e+00    9.159586e+03
  3.182016e+00    8.995146e+03
  3.187249e+00    8.782991e+03
  3.192482e+00    8.497397e+03
  3.197716e+00    8.224116e+03
  3.202949e+00    7.965326e+03
  3.208182e+00    7.666497e+03
  3.213415e+00    7.367784e+03
  3.218648e+00    7.080390e+03
  3.223881e+00    6.770956e+03
  3.229115e+00    6.445245e+03
  3.234348e+00    6.174253e+03
  3.239581e+00    5.935238e+03
  3.244814e+00    5.686176e+03
  3.250047e+00    5.491399e+03
  3.255280e+00    5.340620e+03
  3.260514e+00    5.182053e+03
  3.265747e+00    5.044930e+03
  3.270980e+00    4.933651e+03
  3.276213e+00    4.844277e+03
  3.281446e+00    4.758065e+03
  3.286679e+00    4.701514e+03
  3.291912e+00    4.657558e+03
  3.297146e+00    4.607498e+03
  3.302379e+00    4.567728e+03
  3.307612e+00    4.538199e+03
  3.312845e+00    4.508177e+03
  3.318078e+00    4.480226e+03
  3.323311e+00    4.464832e+03
  3.328545e+00    4.458333e+03
  3.333778e+00    4.444624e+03
  3.339011e+00    4.441666e+03
  3.344244e+00    4.433731e+03
  3.349477e+00    4.419164e+03
  3.354710e+00    4.408747e+03
  3.359944e+00    4.393719e+03
  3.365177e+00    4.390970e+03
  3.370410e+00    4.380318e+03
  3.375643e+00    4.375928e+03
  3.380876e+00    4.366233e+03
  3.386109e+00    4.369710e+03
  3.391342e+00    4.362079e+03
  3.396576e+00    4.355012e+03
  3.401809e+00    4.350476e+03
  3.407042e+00    4.345466e+03
  3.412275e+00    4.339890e+03
  3.417508e+00    4.332791e+03
  3.422741e+00    4.332691e+03
  3.427975e+00    4.334214e+03
  3.433208e+00    4.334892e+03
  3.438441e+00    4.330414e+03
  3.443674e+00    4.329530e+03
  3.448907e+00    4.325374e+03
  3.454140e+00    4.323493e+03
  3.459374e+00    4.321506e+03
  3.464607e+00    4.316875e+03
  3.469840e+00    4.317077e+03
  3.475073e+00    4.315423e+03
  3.480306e+00    4.317117e+03
  3.485539e+00    4.321435e+03
  3.490772e+00    4.324527e+03
  3.496006e+00    4.325626e+03
  3.501239e+00    4.323401e+03
  3.506472e+00    4.320025e+03
  3.511705e+00    4.323386e+03
  3.516938e+00    4.324731e+03
  3.522171e+00    4.328460e+03
  3.527405e+00    4.326948e+03
  3.532638e+00    4.325791e+03
  3.537871e+00    4.320507e+03
  3.543104e+00    4.316688e+03
  3.548337e+00    4.316494e+03
  3.553570e+00    4.322422e+03
  3.558804e+00    4.325288e+03
  3.564037e+00    4.325043e+03
  3.569270e+00    4.328934e+03
  3.574503e+00    4.333485e+03
  3.579736e+00    4.340134e+03
  3.584969e+00    4.342941e+03
  3.590202e+00    4.334087e+03
  3.595436e+00    4.312796e+03
  3.600669e+00    4.308395e+03
  3.605902e+00    4.312942e+03
  3.611135e+00    4.340382e+03
  3.616368e+00    4.358123e+03
  3.621601e+00    4.373146e+03
  3.626835e+00    4.389685e+03
  3.632068e+00    4.405815e+03
  3.637301e+00    4.421944e+03
  3.642534e+00    4.429618e+03
  3.647767e+00    4.437307e+03
  3.653000e+00    4.450179e+03
  3.658234e+00    4.457983e+03
  3.663467e+00    4.467295e+03
  3.668700e+00    4.478608e+03
  3.673933e+00    4.496061e+03
  3.679166e+00    4.518172e+03
  3.684399e+00    4.540046e+03
  3.689632e+00    4.568597e+03
  3.694866e+00    4.600671e+03
  3.700099e+00    4.639425e+03
  3.705332e+00    4.670169e+03
  3.710565e+00    4.706846e+03
  3.715798e+00    4.752542e+03
  3.721031e+00    4.786074e+03
  3.726265e+00    4.829461e+03
  3.731498e+00    4.872094e+03
  3.736731e+00    4.926101e+03
  3.741964e+00    4.983214e+03
  3.747197e+00    5.030807e+03
  3.752430e+00    5.079237e+03
  3.757664e+00    5.129118e+03
  3.762897e+00    5.184658e+03
  3.768130e+00    5.239825e+03
  3.773363e+00    5.284867e+03
  3.778596e+00    5.319512e+03
  3.783829e+00    5.360472e+03
  3.789062e+00    5.389679e+03
  3.794296e+00    5.413043e+03
  3.799529e+00    5.415523e+03
  3.804762e+00    5.418529e+03
  3.809995e+00    5.420266e+03
  3.815228e+00    5.424474e+03
  3.820461e+00    5.413865e+03
  3.825695e+00    5.398050e+03
  3.830928e+00    5.376658e+03
  3.836161e+00    5.356216e+03
  3.841394e+00    5.342551e+03
  3.846627e+00    5.326538e+03
  3.851860e+00    5.313606e+03
  3.857094e+00    5.299781e+03
  3.862327e+00    5.284964e+03
  3.867560e+00    5.275820e+03
  3.872793e+00    5.277544e+03
  3.878026e+00    5.282577e+03
  3.883259e+00    5.294531e+03
  3.888492e+00    5.319271e+03
  3.893726e+00    5.339510e+03
  3.898959e+00    5.368446e+03
  3.904192e+00    5.402324e+03
  3.909425e+00    5.456948e+03
  3.914658e+00    5.521190e+03
  3.919891e+00    5.590435e+03
  3.925125e+00    5.670268e+03
  3.930358e+00    5.753065e+03
  3.935591e+00    5.850896e+03
  3.940824e+00    5.961017e+03
  3.946057e+00    6.083818e+03
  3.951290e+00    6.219947e+03
  3.956524e+00    6.351144e+03
  3.961757e+00    6.498347e+03
  3.966990e+00    6.648377e+03
  3.972223e+00    6.796891e+03
  3.977456e+00    6.972571e+03
  3.982689e+00    7.136052e+03
  3.987922e+00    7.298551e+03
  3.993156e+00    7.460740e+03
  3.998389e+00    7.611412e+03
  4.003622e+00    7.743605e+03
  4.008855e+00    7.847920e+03
  4.014088e+00    7.952666e+03
  4.019321e+00    8.041684e+03
  4.024555e+00    8.095109e+03
  4.029788e+00    8.121360e+03
  4.035021e+00    8.119902e+03
  4.040254e+00    8.096656e+03
  4.045487e+00    8.047837e+03
  4.050720e+00    7.987675e+03
  4.055954e+00    7.910047e+03
  4.061187e+00    7.818433e+03
  4.066420e+00    7.706533e+03
  4.071653e+00    7.578515e+03
  4.076886e+00    7.457457e+03
  4.082119e+00    7.338171e+03
  4.087352e+00    7.223093e+03
  4.092586e+00    7.111570e+03
  4.097819e+00    6.984002e+03
  4.103052e+00    6.855441e+03
  4.108285e+00    6.750349e+03
  4.113518e+00    6.660876e+03
  4.118751e+00    6.577701e+03
  4.123985e+00    6.488974e+03
  4.129218e+00    6.398355e+03
  4.134451e+00    6.316037e+03
  4.139684e+00    6.247553e+03
  4.144917e+00    6.193686e+03
  4.150150e+00    6.140637e+03
  4.155384e+00    6.083642e+03
  4.160617e+00    6.032362e+03
  4.165850e+00    5.976753e+03
  4.171083e+00    5.934204e+03
  4.176316e+00    5.882868e+03
  4.181549e+00    5.849367e+03
  4.186782e+00    5.813855e+03
  4.192016e+00    5.786251e+03
  4.197249e+00    5.760714e+03
  4.202482e+00    5.738077e+03
  4.207715e+00    5.715597e+03
  4.212948e+00    5.697681e+03
  4.218181e+00    5.685713e+03
  4.223415e+00    5.690658e+03
  4.228648e+00    5.699118e+03
  4.233881e+00    5.706761e+03
  4.239114e+00    5.711013e+03
  4.244347e+00    5.714720e+03
  4.249580e+00    5.724997e+03
  4.254814e+00    5.744967e+03
  4.260047e+00    5.782680e+03
  4.265280e+00    5.830870e+03
  4.270513e+00    5.882751e+03
  4.275746e+00    5.935705e+03
  4.280979e+00    6.007846e+03
  4.286212e+00    6.086506e+03
  4.291446e+00    6.191512e+03
  4.296679e+00    6.302468e+03
  4.301912e+00    6.423263e+03
  4.307145e+00    6.593528e+03
  4.312378e+00    6.779009e+03
  4.317611e+00    6.988378e+03
  4.322845e+00    7.202362e+03
  4.328078e+00    7.455171e+03
  4.333311e+00    7.715656e+03
  4.338544e+00    7.996110e+03
  4.343777e+00    8.306891e+03
  4.349010e+00    8.625318e+03
  4.354244e+00    8.912602e+03
  4.359477e+00    9.225639e+03
  4.364710e+00    9.543103e+03
  4.369943e+00    9.810099e+03
  4.375176e+00    1.003908e+04
  4.380409e+00    1.025784e+04
  4.385642e+00    1.047744e+04
  4.390876e+00    1.066059e+04
  4.396109e+00    1.080610e+04
  4.401342e+00    1.090261e+04
  4.406575e+00    1.095408e+04
  4.411808e+00    1.103276e+04
  4.417041e+00    1.110429e+04
  4.422275e+00    1.118771e+04
  4.427508e+00    1.126644e+04
  4.432741e+00    1.135077e+04
  4.437974e+00    1.144995e+04
  4.443207e+00    1.154337e+04
  4.448440e+00    1.163339e+04
  4.453674e+00    1.169143e+04
  4.458907e+00    1.174370e+04
  4.464140e+00    1.178256e+04
  4.469373e+00    1.180679e+04
  4.474606e+00    1.176499e+04
