# == pyFAI calibration ==
# Distance Sample to Detector: 0.2945755399789714 m
# PONI: 2.880e-01, 2.450e-01 m
# Rotations: -0.007291 -0.010887 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.601 mm
# Center: x=1437.174, y=1655.617 pix
# Tilt: 0.751 deg  TiltPlanRot: -56.193 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.9
# Normalization factor: 1.0
# --> /gpfs/current/raw/LaB6/LaB6_23_10_17_33_00000.dat
#        q_A^-1             I 
  3.263564e-02             nan
  8.563974e-02             nan
  1.386438e-01             nan
  1.916479e-01             nan
  2.446520e-01    2.709077e+03
  2.976561e-01    2.923741e+03
  3.506602e-01    3.069000e+03
  4.036643e-01    3.201623e+03
  4.566684e-01    3.236106e+03
  5.096725e-01    3.193356e+03
  5.626766e-01    3.191875e+03
  6.156807e-01    3.160351e+03
  6.686848e-01    3.120278e+03
  7.216890e-01    3.091319e+03
  7.746931e-01    3.026626e+03
  8.276972e-01    3.003630e+03
  8.807013e-01    2.974474e+03
  9.337054e-01    2.944302e+03
  9.867095e-01    2.915804e+03
  1.039714e+00    2.896404e+03
  1.092718e+00    2.895534e+03
  1.145722e+00    2.928176e+03
  1.198726e+00    2.957299e+03
  1.251730e+00    2.975103e+03
  1.304734e+00    3.048745e+03
  1.357738e+00    3.096744e+03
  1.410742e+00    3.150884e+03
  1.463746e+00    1.042242e+04
  1.516750e+00    2.450296e+04
  1.569755e+00    8.281647e+03
  1.622759e+00    3.072173e+03
  1.675763e+00    2.974424e+03
  1.728767e+00    2.889447e+03
  1.781771e+00    2.827385e+03
  1.834775e+00    2.778493e+03
  1.887779e+00    2.723969e+03
  1.940783e+00    2.699322e+03
  1.993787e+00    2.673019e+03
  2.046791e+00    2.711599e+03
  2.099796e+00    2.209998e+04
  2.152800e+00    3.580058e+04
  2.205804e+00    7.136042e+03
  2.258808e+00    2.524253e+03
  2.311812e+00    2.484289e+03
  2.364816e+00    2.463792e+03
  2.417820e+00    2.452932e+03
  2.470824e+00    2.448250e+03
  2.523828e+00    2.456302e+03
  2.576832e+00    9.898359e+03
  2.629837e+00    1.877727e+04
  2.682841e+00    5.055807e+03
  2.735845e+00    2.369099e+03
  2.788849e+00    2.357396e+03
  2.841853e+00    2.348802e+03
  2.894857e+00    2.353997e+03
  2.947861e+00    2.680213e+03
  3.000865e+00    1.020008e+04
  3.053869e+00    8.762367e+03
  3.106874e+00    2.581566e+03
  3.159878e+00    2.341668e+03
  3.212882e+00    2.344795e+03
  3.265886e+00    2.350207e+03
  3.318890e+00    5.380763e+03
  3.371894e+00    2.169520e+04
  3.424898e+00    1.202766e+04
  3.477902e+00    2.381517e+03
  3.530906e+00    2.326704e+03
  3.583910e+00    2.317875e+03
  3.636915e+00    3.123092e+03
  3.689919e+00    1.203439e+04
  3.742923e+00    8.592000e+03
  3.795927e+00    2.342971e+03
  3.848931e+00    2.282976e+03
  3.901935e+00    2.275352e+03
  3.954939e+00    2.278298e+03
  4.007943e+00    2.275228e+03
  4.060947e+00    2.273506e+03
  4.113951e+00    2.287330e+03
  4.166956e+00    2.293976e+03
  4.219960e+00    3.037843e+03
  4.272964e+00    6.593123e+03
  4.325968e+00    3.987717e+03
  4.378972e+00    2.315963e+03
  4.431976e+00    2.314812e+03
  4.484980e+00    5.492815e+03
  4.537984e+00    1.485832e+04
  4.590988e+00    5.831553e+03
  4.643992e+00    2.325976e+03
  4.696997e+00    2.383103e+03
  4.750001e+00    7.940753e+03
  4.803005e+00    1.017583e+04
  4.856009e+00    2.911952e+03
  4.909013e+00    2.320151e+03
  4.962017e+00    3.636135e+03
  5.015021e+00    8.010640e+03
  5.068025e+00    4.188396e+03
  5.121029e+00    2.321092e+03
  5.174033e+00    2.402161e+03
  5.227038e+00    3.230150e+03
  5.280042e+00    2.758509e+03
  5.333046e+00    2.280070e+03
  5.386050e+00    2.610010e+03
  5.439054e+00    5.578022e+03
  5.492058e+00    4.101283e+03
  5.545062e+00    2.260390e+03
  5.598066e+00    3.364891e+03
  5.651070e+00    9.553832e+03
  5.704074e+00    5.274313e+03
  5.757079e+00    2.244674e+03
  5.810083e+00    2.212252e+03
  5.863087e+00    2.199599e+03
  5.916091e+00    2.201065e+03
  5.969095e+00    2.229025e+03
  6.022099e+00    3.110073e+03
  6.075103e+00    3.085981e+03
  6.128107e+00    2.260988e+03
  6.181111e+00    3.629039e+03
  6.234115e+00    7.790810e+03
  6.287120e+00    3.900322e+03
  6.340124e+00    2.438545e+03
  6.393128e+00    5.884772e+03
  6.446132e+00    5.201640e+03
  6.499136e+00    2.319145e+03
  6.552140e+00    3.114002e+03
  6.605144e+00    3.783712e+03
  6.658148e+00    2.416730e+03
  6.711152e+00    2.829787e+03
  6.764156e+00    4.622887e+03
  6.817161e+00    2.859685e+03
  6.870165e+00    3.015520e+03
  6.923169e+00    6.588862e+03
  6.976173e+00    3.975477e+03
  7.029177e+00    2.564993e+03
  7.082181e+00    4.290556e+03
  7.135185e+00    3.172171e+03
  7.188189e+00    2.272716e+03
  7.241193e+00    2.259567e+03
  7.294197e+00    2.265107e+03
  7.347202e+00    2.487811e+03
  7.400206e+00    3.401522e+03
  7.453210e+00    2.681177e+03
  7.506214e+00    2.585428e+03
  7.559218e+00    3.379319e+03
  7.612222e+00    2.625113e+03
  7.665226e+00    4.114391e+03
  7.718230e+00    6.392451e+03
  7.771234e+00    2.949984e+03
  7.824239e+00    3.527480e+03
  7.877243e+00    3.859918e+03
  7.930247e+00    2.395392e+03
  7.983251e+00    2.287089e+03
  8.036255e+00    2.291038e+03
  8.089259e+00    3.179705e+03
  8.142263e+00    5.393054e+03
  8.195267e+00    3.115148e+03
  8.248271e+00    3.025875e+03
  8.301275e+00    3.235296e+03
  8.354280e+00    2.355210e+03
  8.407284e+00    2.289136e+03
  8.460288e+00    2.299911e+03
  8.513292e+00    2.620405e+03
  8.566296e+00    2.850617e+03
  8.619300e+00    2.651242e+03
  8.672304e+00    4.230719e+03
  8.725308e+00    3.292182e+03
  8.778312e+00    3.443438e+03
  8.831316e+00    4.015246e+03
  8.884321e+00    2.856276e+03
  8.937325e+00    3.830462e+03
  8.990329e+00    2.905712e+03
  9.043333e+00    2.981872e+03
  9.096337e+00    2.944228e+03
  9.149341e+00    2.546399e+03
  9.202345e+00    2.803684e+03
  9.255349e+00    2.655794e+03
  9.308353e+00    3.700550e+03
  9.361357e+00    2.958988e+03
  9.414362e+00    2.333895e+03
  9.467366e+00    2.339467e+03
  9.520370e+00    2.623830e+03
  9.573374e+00    2.895978e+03
  9.626378e+00    3.025270e+03
  9.679382e+00    4.258751e+03
  9.732386e+00    2.965279e+03
  9.785390e+00    3.017433e+03
  9.838394e+00    2.690987e+03
  9.891398e+00    2.665643e+03
  9.944403e+00    2.583745e+03
  9.997407e+00    2.575463e+03
  1.005041e+01    2.603324e+03
  1.010341e+01    3.066672e+03
  1.015642e+01    3.495924e+03
  1.020942e+01    2.851649e+03
  1.026243e+01    3.177456e+03
  1.031543e+01    2.492667e+03
  1.036844e+01    2.369396e+03
  1.042144e+01    2.418399e+03
  1.047444e+01    2.508928e+03
  1.052745e+01    2.625540e+03
  1.058045e+01    3.006439e+03
  1.063346e+01    2.940121e+03
  1.068646e+01    3.551245e+03
  1.073946e+01    2.962550e+03
  1.079247e+01    3.143448e+03
  1.084547e+01    2.738270e+03
  1.089848e+01    2.783754e+03
  1.095148e+01    2.762621e+03
  1.100448e+01    3.097117e+03
  1.105749e+01    2.983348e+03
  1.111049e+01    3.325658e+03
  1.116350e+01    2.593458e+03
  1.121650e+01    2.418210e+03
  1.126951e+01    2.659785e+03
  1.132251e+01    2.809138e+03
  1.137551e+01    2.786701e+03
  1.142852e+01    2.837377e+03
  1.148152e+01    2.716174e+03
  1.153453e+01    2.730526e+03
  1.158753e+01    2.905970e+03
  1.164053e+01    2.706349e+03
  1.169354e+01    2.428361e+03
  1.174654e+01    2.588046e+03
  1.179955e+01    2.867142e+03
  1.185255e+01    2.899394e+03
  1.190555e+01    3.076409e+03
  1.195856e+01    2.536581e+03
  1.201156e+01    2.427409e+03
  1.206457e+01    2.468399e+03
  1.211757e+01    2.627885e+03
  1.217057e+01    3.087811e+03
  1.222358e+01    2.949758e+03
  1.227658e+01    2.988623e+03
  1.232959e+01    2.617611e+03
  1.238259e+01    2.540384e+03
  1.243560e+01    2.699760e+03
  1.248860e+01    2.799128e+03
  1.254160e+01    3.075478e+03
  1.259461e+01    2.814583e+03
  1.264761e+01    2.691017e+03
  1.270062e+01    2.480948e+03
  1.275362e+01    2.463983e+03
  1.280662e+01    2.568815e+03
  1.285963e+01    2.593176e+03
  1.291263e+01    2.672554e+03
  1.296564e+01    2.974161e+03
  1.301864e+01    2.963411e+03
  1.307164e+01    2.746664e+03
  1.312465e+01    2.591573e+03
  1.317765e+01    2.565687e+03
  1.323066e+01    2.778868e+03
  1.328366e+01    2.748424e+03
  1.333667e+01    2.573117e+03
  1.338967e+01    2.452256e+03
  1.344267e+01    2.419090e+03
  1.349568e+01    2.505637e+03
  1.354868e+01    2.621079e+03
  1.360169e+01    2.735523e+03
  1.365469e+01    2.618035e+03
  1.370769e+01    2.604378e+03
  1.376070e+01    2.627896e+03
  1.381370e+01    2.540035e+03
  1.386671e+01    2.504722e+03
  1.391971e+01    2.524505e+03
  1.397271e+01    2.644161e+03
  1.402572e+01    2.626661e+03
  1.407872e+01    2.413749e+03
  1.413173e+01    2.424421e+03
  1.418473e+01    2.557625e+03
  1.423773e+01    2.772387e+03
  1.429074e+01    2.735347e+03
  1.434374e+01    2.652384e+03
  1.439675e+01    2.513698e+03
  1.444975e+01    2.411197e+03
  1.450276e+01    2.420876e+03
  1.455576e+01    2.538088e+03
  1.460876e+01    2.602219e+03
  1.466177e+01    2.543113e+03
  1.471477e+01    2.385766e+03
  1.476778e+01    2.399307e+03
  1.482078e+01    2.435209e+03
  1.487378e+01    2.482190e+03
  1.492679e+01    2.556070e+03
  1.497979e+01    2.546300e+03
  1.503280e+01    2.501269e+03
  1.508580e+01    2.481544e+03
  1.513880e+01    2.602709e+03
  1.519181e+01    2.637396e+03
  1.524481e+01    2.515876e+03
  1.529782e+01    2.415564e+03
  1.535082e+01    2.432910e+03
  1.540382e+01    2.510119e+03
  1.545683e+01    2.561680e+03
  1.550983e+01    2.548489e+03
  1.556284e+01    2.518253e+03
  1.561584e+01    2.499998e+03
  1.566885e+01    2.448924e+03
  1.572185e+01    2.450201e+03
  1.577485e+01    2.511065e+03
  1.582786e+01    2.550596e+03
  1.588086e+01    2.437982e+03
  1.593387e+01    2.366390e+03
  1.598687e+01    2.400197e+03
  1.603987e+01    2.476030e+03
  1.609288e+01    2.502284e+03
  1.614588e+01    2.481085e+03
  1.619889e+01    2.460390e+03
  1.625189e+01    2.480797e+03
  1.630489e+01    2.507207e+03
  1.635790e+01    2.493952e+03
  1.641090e+01    2.439042e+03
  1.646391e+01    2.379601e+03
  1.651691e+01    2.400722e+03
  1.656992e+01    2.431036e+03
  1.662292e+01    2.458824e+03
  1.667592e+01    2.463475e+03
