# == pyFAI calibration ==
# Distance Sample to Detector: 0.2945755399789714 m
# PONI: 2.880e-01, 2.450e-01 m
# Rotations: -0.007291 -0.010887 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.601 mm
# Center: x=1437.174, y=1655.617 pix
# Tilt: 0.751 deg  TiltPlanRot: -56.193 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.9
# Normalization factor: 1.0
# --> /gpfs/current/raw/LaB6/LaB6_23_10_17_33_00004.dat
#        q_A^-1             I 
  3.263564e-02             nan
  8.563974e-02             nan
  1.386438e-01             nan
  1.916479e-01             nan
  2.446520e-01    2.117533e+04
  2.976561e-01    2.277637e+04
  3.506602e-01    2.383123e+04
  4.036643e-01    2.484811e+04
  4.566684e-01    2.509959e+04
  5.096725e-01    2.483695e+04
  5.626766e-01    2.478344e+04
  6.156807e-01    2.453085e+04
  6.686848e-01    2.424801e+04
  7.216890e-01    2.404056e+04
  7.746931e-01    2.351134e+04
  8.276972e-01    2.332910e+04
  8.807013e-01    2.307846e+04
  9.337054e-01    2.285586e+04
  9.867095e-01    2.263063e+04
  1.039714e+00    2.255328e+04
  1.092718e+00    2.248083e+04
  1.145722e+00    2.270968e+04
  1.198726e+00    2.295271e+04
  1.251730e+00    2.309904e+04
  1.304734e+00    2.368349e+04
  1.357738e+00    2.407747e+04
  1.410742e+00    2.450075e+04
  1.463746e+00    8.146178e+04
  1.516750e+00    1.902144e+05
  1.569755e+00    6.384774e+04
  1.622759e+00    2.387206e+04
  1.675763e+00    2.310108e+04
  1.728767e+00    2.244345e+04
  1.781771e+00    2.192835e+04
  1.834775e+00    2.159489e+04
  1.887779e+00    2.115416e+04
  1.940783e+00    2.097921e+04
  1.993787e+00    2.075768e+04
  2.046791e+00    2.106235e+04
  2.099796e+00    1.718425e+05
  2.152800e+00    2.773250e+05
  2.205804e+00    5.492734e+04
  2.258808e+00    1.960541e+04
  2.311812e+00    1.928699e+04
  2.364816e+00    1.914129e+04
  2.417820e+00    1.905823e+04
  2.470824e+00    1.900072e+04
  2.523828e+00    1.905971e+04
  2.576832e+00    7.744609e+04
  2.629837e+00    1.454815e+05
  2.682841e+00    3.896158e+04
  2.735845e+00    1.841188e+04
  2.788849e+00    1.830849e+04
  2.841853e+00    1.822928e+04
  2.894857e+00    1.829359e+04
  2.947861e+00    2.085989e+04
  3.000865e+00    7.926040e+04
  3.053869e+00    6.772571e+04
  3.106874e+00    2.001004e+04
  3.159878e+00    1.817928e+04
  3.212882e+00    1.819872e+04
  3.265886e+00    1.824796e+04
  3.318890e+00    4.059449e+04
  3.371894e+00    1.680360e+05
  3.424898e+00    9.270912e+04
  3.477902e+00    1.849087e+04
  3.530906e+00    1.807327e+04
  3.583910e+00    1.801312e+04
  3.636915e+00    2.434917e+04
  3.689919e+00    9.368904e+04
  3.742923e+00    6.639953e+04
  3.795927e+00    1.820453e+04
  3.848931e+00    1.772942e+04
  3.901935e+00    1.766984e+04
  3.954939e+00    1.769048e+04
  4.007943e+00    1.766735e+04
  4.060947e+00    1.766044e+04
  4.113951e+00    1.774505e+04
  4.166956e+00    1.781830e+04
  4.219960e+00    2.366590e+04
  4.272964e+00    5.123778e+04
  4.325968e+00    3.094162e+04
  4.378972e+00    1.798829e+04
  4.431976e+00    1.799564e+04
  4.484980e+00    4.277118e+04
  4.537984e+00    1.153304e+05
  4.590988e+00    4.503755e+04
  4.643992e+00    1.807497e+04
  4.696997e+00    1.853279e+04
  4.750001e+00    6.184530e+04
  4.803005e+00    7.892761e+04
  4.856009e+00    2.259184e+04
  4.909013e+00    1.804069e+04
  4.962017e+00    2.833806e+04
  5.015021e+00    6.220200e+04
  5.068025e+00    3.240257e+04
  5.121029e+00    1.803278e+04
  5.174033e+00    1.868311e+04
  5.227038e+00    2.512499e+04
  5.280042e+00    2.141613e+04
  5.333046e+00    1.771722e+04
  5.386050e+00    2.031687e+04
  5.439054e+00    4.346607e+04
  5.492058e+00    3.174889e+04
  5.545062e+00    1.757131e+04
  5.598066e+00    2.622310e+04
  5.651070e+00    7.429573e+04
  5.704074e+00    4.079428e+04
  5.757079e+00    1.745404e+04
  5.810083e+00    1.719153e+04
  5.863087e+00    1.710396e+04
  5.916091e+00    1.709153e+04
  5.969095e+00    1.731622e+04
  6.022099e+00    2.419782e+04
  6.075103e+00    2.394359e+04
  6.128107e+00    1.756772e+04
  6.181111e+00    2.828623e+04
  6.234115e+00    6.056216e+04
  6.287120e+00    2.988332e+04
  6.340124e+00    1.898970e+04
  6.393128e+00    4.579492e+04
  6.446132e+00    4.025909e+04
  6.499136e+00    1.801560e+04
  6.552140e+00    2.425160e+04
  6.605144e+00    2.937435e+04
  6.658148e+00    1.874694e+04
  6.711152e+00    2.202537e+04
  6.764156e+00    3.587522e+04
  6.817161e+00    2.215933e+04
  6.870165e+00    2.353172e+04
  6.923169e+00    5.126189e+04
  6.976173e+00    3.074624e+04
  7.029177e+00    1.995353e+04
  7.082181e+00    3.335782e+04
  7.135185e+00    2.457046e+04
  7.188189e+00    1.765989e+04
  7.241193e+00    1.752632e+04
  7.294197e+00    1.759544e+04
  7.347202e+00    1.933160e+04
  7.400206e+00    2.646090e+04
  7.453210e+00    2.078626e+04
  7.506214e+00    2.009718e+04
  7.559218e+00    2.622341e+04
  7.612222e+00    2.036613e+04
  7.665226e+00    3.201913e+04
  7.718230e+00    4.955969e+04
  7.771234e+00    2.286326e+04
  7.824239e+00    2.743024e+04
  7.877243e+00    2.994947e+04
  7.930247e+00    1.858907e+04
  7.983251e+00    1.777068e+04
  8.036255e+00    1.780669e+04
  8.089259e+00    2.474249e+04
  8.142263e+00    4.189116e+04
  8.195267e+00    2.412296e+04
  8.248271e+00    2.352838e+04
  8.301275e+00    2.509850e+04
  8.354280e+00    1.829408e+04
  8.407284e+00    1.777723e+04
  8.460288e+00    1.786044e+04
  8.513292e+00    2.037396e+04
  8.566296e+00    2.209954e+04
  8.619300e+00    2.061802e+04
  8.672304e+00    3.285002e+04
  8.725308e+00    2.552757e+04
  8.778312e+00    2.681932e+04
  8.831316e+00    3.114895e+04
  8.884321e+00    2.219652e+04
  8.937325e+00    2.975718e+04
  8.990329e+00    2.253532e+04
  9.043333e+00    2.318675e+04
  9.096337e+00    2.281831e+04
  9.149341e+00    1.978934e+04
  9.202345e+00    2.176153e+04
  9.255349e+00    2.062142e+04
  9.308353e+00    2.875921e+04
  9.361357e+00    2.293047e+04
  9.414362e+00    1.812615e+04
  9.467366e+00    1.817641e+04
  9.520370e+00    2.039963e+04
  9.573374e+00    2.248022e+04
  9.626378e+00    2.351241e+04
  9.679382e+00    3.306151e+04
  9.732386e+00    2.299486e+04
  9.785390e+00    2.345371e+04
  9.838394e+00    2.089679e+04
  9.891398e+00    2.071898e+04
  9.944403e+00    2.006168e+04
  9.997407e+00    1.999102e+04
  1.005041e+01    2.021224e+04
  1.010341e+01    2.382690e+04
  1.015642e+01    2.715283e+04
  1.020942e+01    2.216110e+04
  1.026243e+01    2.468174e+04
  1.031543e+01    1.933529e+04
  1.036844e+01    1.840055e+04
  1.042144e+01    1.876789e+04
  1.047444e+01    1.948008e+04
  1.052745e+01    2.038977e+04
  1.058045e+01    2.334790e+04
  1.063346e+01    2.282355e+04
  1.068646e+01    2.755197e+04
  1.073946e+01    2.299547e+04
  1.079247e+01    2.440772e+04
  1.084547e+01    2.124068e+04
  1.089848e+01    2.161669e+04
  1.095148e+01    2.145315e+04
  1.100448e+01    2.405417e+04
  1.105749e+01    2.315401e+04
  1.111049e+01    2.581701e+04
  1.116350e+01    2.011491e+04
  1.121650e+01    1.877472e+04
  1.126951e+01    2.065041e+04
  1.132251e+01    2.179739e+04
  1.137551e+01    2.163647e+04
  1.142852e+01    2.201067e+04
  1.148152e+01    2.108336e+04
  1.153453e+01    2.118207e+04
  1.158753e+01    2.256292e+04
  1.164053e+01    2.100387e+04
  1.169354e+01    1.885873e+04
  1.174654e+01    2.009431e+04
  1.179955e+01    2.225973e+04
  1.185255e+01    2.250343e+04
  1.190555e+01    2.387753e+04
  1.195856e+01    1.967571e+04
  1.201156e+01    1.883903e+04
  1.206457e+01    1.917114e+04
  1.211757e+01    2.040713e+04
  1.217057e+01    2.398531e+04
  1.222358e+01    2.288807e+04
  1.227658e+01    2.320497e+04
  1.232959e+01    2.031793e+04
  1.238259e+01    1.972597e+04
  1.243560e+01    2.095134e+04
  1.248860e+01    2.172240e+04
  1.254160e+01    2.386573e+04
  1.259461e+01    2.182143e+04
  1.264761e+01    2.088978e+04
  1.270062e+01    1.925530e+04
  1.275362e+01    1.913634e+04
  1.280662e+01    1.993252e+04
  1.285963e+01    2.013054e+04
  1.291263e+01    2.075113e+04
  1.296564e+01    2.309581e+04
  1.301864e+01    2.299702e+04
  1.307164e+01    2.131673e+04
  1.312465e+01    2.012072e+04
  1.317765e+01    1.991601e+04
  1.323066e+01    2.158215e+04
  1.328366e+01    2.134073e+04
  1.333667e+01    1.997127e+04
  1.338967e+01    1.902791e+04
  1.344267e+01    1.879177e+04
  1.349568e+01    1.945234e+04
  1.354868e+01    2.035961e+04
  1.360169e+01    2.122233e+04
  1.365469e+01    2.031157e+04
  1.370769e+01    2.021699e+04
  1.376070e+01    2.039613e+04
  1.381370e+01    1.970695e+04
  1.386671e+01    1.944312e+04
  1.391971e+01    1.958872e+04
  1.397271e+01    2.051360e+04
  1.402572e+01    2.039157e+04
  1.407872e+01    1.873153e+04
  1.413173e+01    1.880935e+04
  1.418473e+01    1.985729e+04
  1.423773e+01    2.153031e+04
  1.429074e+01    2.121595e+04
  1.434374e+01    2.058471e+04
  1.439675e+01    1.950958e+04
  1.444975e+01    1.872632e+04
  1.450276e+01    1.878505e+04
  1.455576e+01    1.970228e+04
  1.460876e+01    2.019536e+04
  1.466177e+01    1.974284e+04
  1.471477e+01    1.851472e+04
  1.476778e+01    1.862938e+04
  1.482078e+01    1.889927e+04
  1.487378e+01    1.928166e+04
  1.492679e+01    1.984262e+04
  1.497979e+01    1.976029e+04
  1.503280e+01    1.940464e+04
  1.508580e+01    1.925332e+04
  1.513880e+01    2.019790e+04
  1.519181e+01    2.047366e+04
  1.524481e+01    1.950892e+04
  1.529782e+01    1.873788e+04
  1.535082e+01    1.887492e+04
  1.540382e+01    1.947696e+04
  1.545683e+01    1.987525e+04
  1.550983e+01    1.977829e+04
  1.556284e+01    1.955852e+04
  1.561584e+01    1.941444e+04
  1.566885e+01    1.900370e+04
  1.572185e+01    1.901927e+04
  1.577485e+01    1.947657e+04
  1.582786e+01    1.979883e+04
  1.588086e+01    1.892814e+04
  1.593387e+01    1.836956e+04
  1.598687e+01    1.862681e+04
  1.603987e+01    1.920485e+04
  1.609288e+01    1.940892e+04
  1.614588e+01    1.925867e+04
  1.619889e+01    1.909935e+04
  1.625189e+01    1.926132e+04
  1.630489e+01    1.946002e+04
  1.635790e+01    1.937524e+04
  1.641090e+01    1.893231e+04
  1.646391e+01    1.848448e+04
  1.651691e+01    1.863731e+04
  1.656992e+01    1.886972e+04
  1.662292e+01    1.908333e+04
  1.667592e+01    1.912609e+04
