# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/LaB6/average_LaB6.dat
#        q_A^-1             I 
  4.084424e-01    5.520517e+03
  4.136756e-01    5.898927e+03
  4.189087e-01    6.033630e+03
  4.241419e-01    6.563828e+03
  4.293751e-01    6.979522e+03
  4.346082e-01    7.248570e+03
  4.398414e-01    7.450136e+03
  4.450745e-01    7.667623e+03
  4.503077e-01    7.874842e+03
  4.555409e-01    8.033733e+03
  4.607740e-01    8.234174e+03
  4.660072e-01    8.333309e+03
  4.712403e-01    8.413481e+03
  4.764735e-01    8.468086e+03
  4.817066e-01    8.522769e+03
  4.869398e-01    8.525125e+03
  4.921730e-01    8.496708e+03
  4.974061e-01    8.485337e+03
  5.026393e-01    8.489574e+03
  5.078724e-01    8.523060e+03
  5.131056e-01    8.537628e+03
  5.183387e-01    8.570915e+03
  5.235719e-01    8.596907e+03
  5.288051e-01    8.645795e+03
  5.340382e-01    8.681013e+03
  5.392714e-01    8.713081e+03
  5.445045e-01    8.733314e+03
  5.497377e-01    8.752423e+03
  5.549709e-01    8.759194e+03
  5.602040e-01    8.779651e+03
  5.654372e-01    8.775281e+03
  5.706703e-01    8.779262e+03
  5.759035e-01    8.790034e+03
  5.811366e-01    8.820958e+03
  5.863698e-01    8.842010e+03
  5.916030e-01    8.866644e+03
  5.968361e-01    8.873565e+03
  6.020693e-01    8.916289e+03
  6.073024e-01    8.970618e+03
  6.125356e-01    9.002290e+03
  6.177688e-01    8.968320e+03
  6.230019e-01    8.929673e+03
  6.282351e-01    8.924130e+03
  6.334682e-01    8.941710e+03
  6.387014e-01    8.957120e+03
  6.439345e-01    8.964092e+03
  6.491677e-01    8.973181e+03
  6.544009e-01    8.999328e+03
  6.596340e-01    9.025607e+03
  6.648672e-01    9.052031e+03
  6.701003e-01    9.048514e+03
  6.753335e-01    9.048789e+03
  6.805666e-01    9.071144e+03
  6.857998e-01    9.089298e+03
  6.910330e-01    9.121861e+03
  6.962661e-01    9.125901e+03
  7.014993e-01    9.124033e+03
  7.067324e-01    9.117625e+03
  7.119656e-01    9.141427e+03
  7.171988e-01    9.185578e+03
  7.224319e-01    9.210562e+03
  7.276651e-01    9.250973e+03
  7.328982e-01    9.242585e+03
  7.381314e-01    9.230225e+03
  7.433645e-01    9.243079e+03
  7.485977e-01    9.238265e+03
  7.538309e-01    9.221943e+03
  7.590640e-01    9.198208e+03
  7.642972e-01    9.168829e+03
  7.695303e-01    9.178843e+03
  7.747635e-01    9.158207e+03
  7.799966e-01    9.182356e+03
  7.852298e-01    9.220549e+03
  7.904630e-01    9.255159e+03
  7.956961e-01    9.277443e+03
  8.009293e-01    9.267339e+03
  8.061624e-01    9.290683e+03
  8.113956e-01    9.312198e+03
  8.166288e-01    9.360542e+03
  8.218619e-01    9.360336e+03
  8.270951e-01    9.363558e+03
  8.323282e-01    9.335791e+03
  8.375614e-01    9.313056e+03
  8.427945e-01    9.331053e+03
  8.480277e-01    9.358408e+03
  8.532609e-01    9.405542e+03
  8.584940e-01    9.413003e+03
  8.637272e-01    9.430353e+03
  8.689603e-01    9.413849e+03
  8.741935e-01    9.393989e+03
  8.794266e-01    9.366319e+03
  8.846598e-01    9.362460e+03
  8.898930e-01    9.399759e+03
  8.951261e-01    9.442927e+03
  9.003593e-01    9.461281e+03
  9.055924e-01    9.470271e+03
  9.108256e-01    9.458897e+03
  9.160588e-01    9.465780e+03
  9.212919e-01    9.467937e+03
  9.265251e-01    9.459299e+03
  9.317582e-01    9.456310e+03
  9.369914e-01    9.456070e+03
  9.422245e-01    9.471654e+03
  9.474577e-01    9.533064e+03
  9.526909e-01    9.540257e+03
  9.579240e-01    9.521317e+03
  9.631572e-01    9.484391e+03
  9.683903e-01    9.467604e+03
  9.736235e-01    9.500740e+03
  9.788567e-01    9.527887e+03
  9.840898e-01    9.540077e+03
  9.893230e-01    9.571152e+03
  9.945561e-01    9.594664e+03
  9.997893e-01    9.594074e+03
  1.005022e+00    9.568245e+03
  1.010256e+00    9.556937e+03
  1.015489e+00    9.560495e+03
  1.020722e+00    9.553877e+03
  1.025955e+00    9.547241e+03
  1.031188e+00    9.594086e+03
  1.036421e+00    9.629092e+03
  1.041655e+00    9.645021e+03
  1.046888e+00    9.640163e+03
  1.052121e+00    9.657269e+03
  1.057354e+00    9.678990e+03
  1.062587e+00    9.679916e+03
  1.067820e+00    9.673285e+03
  1.073053e+00    9.667631e+03
  1.078287e+00    9.639289e+03
  1.083520e+00    9.624693e+03
  1.088753e+00    9.640565e+03
  1.093986e+00    9.695748e+03
  1.099219e+00    9.767932e+03
  1.104452e+00    9.802210e+03
  1.109686e+00    9.852273e+03
  1.114919e+00    9.854050e+03
  1.120152e+00    9.874584e+03
  1.125385e+00    9.860856e+03
  1.130618e+00    9.853812e+03
  1.135851e+00    9.869543e+03
  1.141085e+00    9.907272e+03
  1.146318e+00    9.946042e+03
  1.151551e+00    9.989244e+03
  1.156784e+00    9.978264e+03
  1.162017e+00    9.987859e+03
  1.167250e+00    1.000690e+04
  1.172483e+00    1.001340e+04
  1.177717e+00    1.004377e+04
  1.182950e+00    1.006036e+04
  1.188183e+00    1.009584e+04
  1.193416e+00    1.015893e+04
  1.198649e+00    1.017525e+04
  1.203882e+00    1.019885e+04
  1.209116e+00    1.016398e+04
  1.214349e+00    1.015015e+04
  1.219582e+00    1.015601e+04
  1.224815e+00    1.017835e+04
  1.230048e+00    1.020649e+04
  1.235281e+00    1.021108e+04
  1.240515e+00    1.022919e+04
  1.245748e+00    1.024296e+04
  1.250981e+00    1.029719e+04
  1.256214e+00    1.035435e+04
