# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/MNZ_22/MNZ_22_20231026_183807_00132.dat
#        q_A^-1             I 
  4.084424e-01    1.810789e+04
  4.136756e-01    1.900724e+04
  4.189087e-01    1.895893e+04
  4.241419e-01    1.997892e+04
  4.293751e-01    2.016702e+04
  4.346082e-01    1.996663e+04
  4.398414e-01    1.931493e+04
  4.450745e-01    1.868144e+04
  4.503077e-01    1.833145e+04
  4.555409e-01    1.806953e+04
  4.607740e-01    1.769003e+04
  4.660072e-01    1.722607e+04
  4.712403e-01    1.681722e+04
  4.764735e-01    1.632121e+04
  4.817066e-01    1.581496e+04
  4.869398e-01    1.535395e+04
  4.921730e-01    1.491858e+04
  4.974061e-01    1.443744e+04
  5.026393e-01    1.399823e+04
  5.078724e-01    1.367912e+04
  5.131056e-01    1.328283e+04
  5.183387e-01    1.296523e+04
  5.235719e-01    1.269478e+04
  5.288051e-01    1.244875e+04
  5.340382e-01    1.216954e+04
  5.392714e-01    1.193452e+04
  5.445045e-01    1.171702e+04
  5.497377e-01    1.145405e+04
  5.549709e-01    1.121700e+04
  5.602040e-01    1.105250e+04
  5.654372e-01    1.086614e+04
  5.706703e-01    1.070463e+04
  5.759035e-01    1.055791e+04
  5.811366e-01    1.043144e+04
  5.863698e-01    1.027769e+04
  5.916030e-01    1.015401e+04
  5.968361e-01    1.004592e+04
  6.020693e-01    9.927814e+03
  6.073024e-01    9.821654e+03
  6.125356e-01    9.720983e+03
  6.177688e-01    9.598585e+03
  6.230019e-01    9.483911e+03
  6.282351e-01    9.391139e+03
  6.334682e-01    9.317022e+03
  6.387014e-01    9.241461e+03
  6.439345e-01    9.159781e+03
  6.491677e-01    9.093805e+03
  6.544009e-01    9.026565e+03
  6.596340e-01    8.971987e+03
  6.648672e-01    8.930253e+03
  6.701003e-01    8.873486e+03
  6.753335e-01    8.814428e+03
  6.805666e-01    8.784785e+03
  6.857998e-01    8.748202e+03
  6.910330e-01    8.703827e+03
  6.962661e-01    8.656183e+03
  7.014993e-01    8.609544e+03
  7.067324e-01    8.573643e+03
  7.119656e-01    8.547932e+03
  7.171988e-01    8.550267e+03
  7.224319e-01    8.540860e+03
  7.276651e-01    8.544715e+03
  7.328982e-01    8.512375e+03
  7.381314e-01    8.471557e+03
  7.433645e-01    8.441178e+03
  7.485977e-01    8.407773e+03
  7.538309e-01    8.385482e+03
  7.590640e-01    8.350771e+03
  7.642972e-01    8.314915e+03
  7.695303e-01    8.307749e+03
  7.747635e-01    8.282444e+03
  7.799966e-01    8.293210e+03
  7.852298e-01    8.305662e+03
  7.904630e-01    8.313069e+03
  7.956961e-01    8.303398e+03
  8.009293e-01    8.280905e+03
  8.061624e-01    8.283770e+03
  8.113956e-01    8.297508e+03
  8.166288e-01    8.326082e+03
  8.218619e-01    8.318134e+03
  8.270951e-01    8.308569e+03
  8.323282e-01    8.292188e+03
  8.375614e-01    8.275373e+03
  8.427945e-01    8.273876e+03
  8.480277e-01    8.275029e+03
  8.532609e-01    8.295424e+03
  8.584940e-01    8.302721e+03
  8.637272e-01    8.308438e+03
  8.689603e-01    8.305285e+03
  8.741935e-01    8.293643e+03
  8.794266e-01    8.273220e+03
  8.846598e-01    8.264809e+03
  8.898930e-01    8.291061e+03
  8.951261e-01    8.332896e+03
  9.003593e-01    8.358992e+03
  9.055924e-01    8.379258e+03
  9.108256e-01    8.385617e+03
  9.160588e-01    8.394936e+03
  9.212919e-01    8.404672e+03
  9.265251e-01    8.416979e+03
  9.317582e-01    8.428701e+03
  9.369914e-01    8.439155e+03
  9.422245e-01    8.434032e+03
  9.474577e-01    8.466734e+03
  9.526909e-01    8.492147e+03
  9.579240e-01    8.512491e+03
  9.631572e-01    8.510786e+03
  9.683903e-01    8.515225e+03
  9.736235e-01    8.552370e+03
  9.788567e-01    8.585394e+03
  9.840898e-01    8.605181e+03
  9.893230e-01    8.642427e+03
  9.945561e-01    8.661103e+03
  9.997893e-01    8.661646e+03
  1.005022e+00    8.665960e+03
  1.010256e+00    8.670180e+03
  1.015489e+00    8.689418e+03
  1.020722e+00    8.694013e+03
  1.025955e+00    8.708923e+03
  1.031188e+00    8.739739e+03
  1.036421e+00    8.767550e+03
  1.041655e+00    8.795193e+03
  1.046888e+00    8.808474e+03
  1.052121e+00    8.838182e+03
  1.057354e+00    8.875815e+03
  1.062587e+00    8.935989e+03
  1.067820e+00    8.987866e+03
  1.073053e+00    9.030541e+03
  1.078287e+00    9.074352e+03
  1.083520e+00    9.122419e+03
  1.088753e+00    9.167098e+03
  1.093986e+00    9.233579e+03
  1.099219e+00    9.304753e+03
  1.104452e+00    9.358555e+03
  1.109686e+00    9.418125e+03
  1.114919e+00    9.446167e+03
  1.120152e+00    9.478387e+03
  1.125385e+00    9.480471e+03
  1.130618e+00    9.479288e+03
  1.135851e+00    9.497191e+03
  1.141085e+00    9.517306e+03
  1.146318e+00    9.538550e+03
  1.151551e+00    9.553550e+03
  1.156784e+00    9.543924e+03
  1.162017e+00    9.555398e+03
  1.167250e+00    9.574991e+03
  1.172483e+00    9.593563e+03
  1.177717e+00    9.636028e+03
  1.182950e+00    9.687125e+03
  1.188183e+00    9.770298e+03
  1.193416e+00    9.865035e+03
  1.198649e+00    9.928969e+03
  1.203882e+00    9.994357e+03
  1.209116e+00    1.000746e+04
  1.214349e+00    1.004248e+04
  1.219582e+00    1.011498e+04
  1.224815e+00    1.019238e+04
  1.230048e+00    1.026408e+04
  1.235281e+00    1.032132e+04
  1.240515e+00    1.039459e+04
  1.245748e+00    1.045893e+04
  1.250981e+00    1.054237e+04
  1.256214e+00    1.064210e+04
  1.261447e+00    1.071497e+04
  1.266680e+00    1.076487e+04
  1.271913e+00    1.083480e+04
  1.277147e+00    1.091625e+04
  1.282380e+00    1.099331e+04
  1.287613e+00    1.107690e+04
  1.292846e+00    1.118947e+04
  1.298079e+00    1.126822e+04
