# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/SB/SB_20231026_132507_00255.dat
#        q_A^-1             I 
  4.084424e-01    2.039779e+04
  4.136756e-01    2.124189e+04
  4.189087e-01    2.118200e+04
  4.241419e-01    2.186356e+04
  4.293751e-01    2.195451e+04
  4.346082e-01    2.172912e+04
  4.398414e-01    2.109597e+04
  4.450745e-01    2.046885e+04
  4.503077e-01    2.008945e+04
  4.555409e-01    1.979839e+04
  4.607740e-01    1.939312e+04
  4.660072e-01    1.891092e+04
  4.712403e-01    1.848273e+04
  4.764735e-01    1.796493e+04
  4.817066e-01    1.743549e+04
  4.869398e-01    1.696484e+04
  4.921730e-01    1.652441e+04
  4.974061e-01    1.604440e+04
  5.026393e-01    1.560832e+04
  5.078724e-01    1.528883e+04
  5.131056e-01    1.490188e+04
  5.183387e-01    1.459009e+04
  5.235719e-01    1.432090e+04
  5.288051e-01    1.407690e+04
  5.340382e-01    1.379184e+04
  5.392714e-01    1.354296e+04
  5.445045e-01    1.331003e+04
  5.497377e-01    1.303518e+04
  5.549709e-01    1.279521e+04
  5.602040e-01    1.263822e+04
  5.654372e-01    1.243585e+04
  5.706703e-01    1.224613e+04
  5.759035e-01    1.207478e+04
  5.811366e-01    1.193575e+04
  5.863698e-01    1.176923e+04
  5.916030e-01    1.162702e+04
  5.968361e-01    1.151951e+04
  6.020693e-01    1.140094e+04
  6.073024e-01    1.129083e+04
  6.125356e-01    1.117692e+04
  6.177688e-01    1.103462e+04
  6.230019e-01    1.090081e+04
  6.282351e-01    1.078158e+04
  6.334682e-01    1.068701e+04
  6.387014e-01    1.059135e+04
  6.439345e-01    1.050031e+04
  6.491677e-01    1.043540e+04
  6.544009e-01    1.035581e+04
  6.596340e-01    1.028313e+04
  6.648672e-01    1.021795e+04
  6.701003e-01    1.014112e+04
  6.753335e-01    1.007663e+04
  6.805666e-01    1.002831e+04
  6.857998e-01    9.981581e+03
  6.910330e-01    9.931019e+03
  6.962661e-01    9.884599e+03
  7.014993e-01    9.832656e+03
  7.067324e-01    9.769859e+03
  7.119656e-01    9.724137e+03
  7.171988e-01    9.716507e+03
  7.224319e-01    9.700711e+03
  7.276651e-01    9.696896e+03
  7.328982e-01    9.658869e+03
  7.381314e-01    9.607200e+03
  7.433645e-01    9.558619e+03
  7.485977e-01    9.514203e+03
  7.538309e-01    9.486980e+03
  7.590640e-01    9.435199e+03
  7.642972e-01    9.377009e+03
  7.695303e-01    9.353538e+03
  7.747635e-01    9.320236e+03
  7.799966e-01    9.322233e+03
  7.852298e-01    9.330302e+03
  7.904630e-01    9.333260e+03
