# == pyFAI calibration ==
# Distance Sample to Detector: 0.2945755399789714 m
# PONI: 2.880e-01, 2.450e-01 m
# Rotations: -0.007291 -0.010887 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.601 mm
# Center: x=1437.174, y=1655.617 pix
# Tilt: 0.751 deg  TiltPlanRot: -56.193 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.9
# Normalization factor: 1.0
# --> /gpfs/current/raw/empty_cap/cap_20231023_183613_00002.dat
#        q_A^-1             I 
  3.263564e-02             nan
  8.563974e-02             nan
  1.386438e-01             nan
  1.916479e-01             nan
  2.446520e-01    2.758996e+04
  2.976561e-01    3.118472e+04
  3.506602e-01    3.324351e+04
  4.036643e-01    3.617123e+04
  4.566684e-01    3.666000e+04
  5.096725e-01    3.605760e+04
  5.626766e-01    3.550639e+04
  6.156807e-01    3.455528e+04
  6.686848e-01    3.336078e+04
  7.216890e-01    3.223352e+04
  7.746931e-01    3.092505e+04
  8.276972e-01    2.997345e+04
  8.807013e-01    2.908457e+04
  9.337054e-01    2.842288e+04
  9.867095e-01    2.783384e+04
  1.039714e+00    2.758220e+04
  1.092718e+00    2.757558e+04
  1.145722e+00    2.803194e+04
  1.198726e+00    2.881602e+04
  1.251730e+00    2.979686e+04
  1.304734e+00    3.123495e+04
  1.357738e+00    3.276461e+04
  1.410742e+00    3.413284e+04
  1.463746e+00    3.488468e+04
  1.516750e+00    3.476448e+04
  1.569755e+00    3.356342e+04
  1.622759e+00    3.194927e+04
  1.675763e+00    2.982713e+04
  1.728767e+00    2.756863e+04
  1.781771e+00    2.546408e+04
  1.834775e+00    2.363815e+04
  1.887779e+00    2.194115e+04
  1.940783e+00    2.066443e+04
  1.993787e+00    1.947830e+04
  2.046791e+00    1.845827e+04
  2.099796e+00    1.760537e+04
  2.152800e+00    1.686884e+04
  2.205804e+00    1.619948e+04
  2.258808e+00    1.563328e+04
  2.311812e+00    1.513456e+04
  2.364816e+00    1.467347e+04
  2.417820e+00    1.425333e+04
  2.470824e+00    1.383258e+04
  2.523828e+00    1.341907e+04
  2.576832e+00    1.295789e+04
  2.629837e+00    1.254899e+04
  2.682841e+00    1.213616e+04
  2.735845e+00    1.179229e+04
  2.788849e+00    1.155235e+04
  2.841853e+00    1.141070e+04
  2.894857e+00    1.132975e+04
  2.947861e+00    1.129314e+04
  3.000865e+00    1.126890e+04
  3.053869e+00    1.112161e+04
  3.106874e+00    1.093148e+04
  3.159878e+00    1.081745e+04
  3.212882e+00    1.066710e+04
  3.265886e+00    1.056794e+04
  3.318890e+00    1.053511e+04
  3.371894e+00    1.051031e+04
  3.424898e+00    1.038360e+04
  3.477902e+00    1.029492e+04
  3.530906e+00    1.019095e+04
  3.583910e+00    1.008889e+04
  3.636915e+00    1.005598e+04
  3.689919e+00    9.987229e+03
  3.742923e+00    9.919941e+03
  3.795927e+00    9.906916e+03
  3.848931e+00    9.877226e+03
  3.901935e+00    9.884051e+03
  3.954939e+00    9.911028e+03
  4.007943e+00    9.954576e+03
  4.060947e+00    9.977332e+03
  4.113951e+00    1.003857e+04
  4.166956e+00    1.009239e+04
  4.219960e+00    1.010433e+04
  4.272964e+00    1.014447e+04
  4.325968e+00    1.015690e+04
  4.378972e+00    1.015524e+04
  4.431976e+00    1.012546e+04
  4.484980e+00    1.007085e+04
  4.537984e+00    1.005021e+04
  4.590988e+00    1.000237e+04
  4.643992e+00    9.931452e+03
  4.696997e+00    9.899566e+03
  4.750001e+00    9.871944e+03
  4.803005e+00    9.827069e+03
  4.856009e+00    9.807857e+03
  4.909013e+00    9.810505e+03
  4.962017e+00    9.832011e+03
  5.015021e+00    9.853009e+03
  5.068025e+00    9.820223e+03
  5.121029e+00    9.758219e+03
  5.174033e+00    9.619659e+03
  5.227038e+00    9.443015e+03
  5.280042e+00    9.190945e+03
  5.333046e+00    8.871769e+03
  5.386050e+00    8.531663e+03
  5.439054e+00    8.164436e+03
  5.492058e+00    7.818858e+03
  5.545062e+00    7.527232e+03
  5.598066e+00    7.247941e+03
  5.651070e+00    7.043798e+03
  5.704074e+00    6.870539e+03
  5.757079e+00    6.734677e+03
  5.810083e+00    6.634620e+03
  5.863087e+00    6.544777e+03
  5.916091e+00    6.481766e+03
  5.969095e+00    6.447506e+03
  6.022099e+00    6.416297e+03
  6.075103e+00    6.390157e+03
  6.128107e+00    6.360594e+03
  6.181111e+00    6.339100e+03
  6.234115e+00    6.322982e+03
  6.287120e+00    6.305685e+03
  6.340124e+00    6.263884e+03
  6.393128e+00    6.245923e+03
  6.446132e+00    6.194074e+03
  6.499136e+00    6.145845e+03
  6.552140e+00    6.096964e+03
  6.605144e+00    6.051836e+03
  6.658148e+00    5.962554e+03
  6.711152e+00    5.845139e+03
  6.764156e+00    5.772904e+03
  6.817161e+00    5.696106e+03
  6.870165e+00    5.610115e+03
  6.923169e+00    5.582964e+03
  6.976173e+00    5.619065e+03
  7.029177e+00    5.556099e+03
  7.082181e+00    5.499257e+03
  7.135185e+00    5.439855e+03
  7.188189e+00    5.392651e+03
  7.241193e+00    5.349658e+03
  7.294197e+00    5.321868e+03
  7.347202e+00    5.288196e+03
  7.400206e+00    5.274717e+03
  7.453210e+00    5.250233e+03
  7.506214e+00    5.248672e+03
  7.559218e+00    5.262474e+03
  7.612222e+00    5.269358e+03
  7.665226e+00    5.278866e+03
  7.718230e+00    5.300061e+03
  7.771234e+00    5.326306e+03
  7.824239e+00    5.365938e+03
  7.877243e+00    5.443176e+03
  7.930247e+00    5.407502e+03
  7.983251e+00    5.381175e+03
  8.036255e+00    5.366101e+03
  8.089259e+00    5.342719e+03
  8.142263e+00    5.321022e+03
  8.195267e+00    5.301152e+03
  8.248271e+00    5.278323e+03
  8.301275e+00    5.244920e+03
  8.354280e+00    5.214274e+03
  8.407284e+00    5.176092e+03
  8.460288e+00    5.149581e+03
  8.513292e+00    5.119602e+03
  8.566296e+00    5.101572e+03
  8.619300e+00    5.061509e+03
  8.672304e+00    5.026408e+03
  8.725308e+00    5.001101e+03
  8.778312e+00    4.957077e+03
  8.831316e+00    4.919652e+03
  8.884321e+00    4.890348e+03
  8.937325e+00    4.849062e+03
  8.990329e+00    4.804281e+03
  9.043333e+00    4.772184e+03
  9.096337e+00    4.727578e+03
  9.149341e+00    4.688613e+03
  9.202345e+00    4.652231e+03
  9.255349e+00    4.609925e+03
  9.308353e+00    4.578808e+03
  9.361357e+00    4.548619e+03
  9.414362e+00    4.497118e+03
  9.467366e+00    4.470505e+03
  9.520370e+00    4.432855e+03
  9.573374e+00    4.394460e+03
  9.626378e+00    4.358094e+03
  9.679382e+00    4.330231e+03
  9.732386e+00    4.297568e+03
  9.785390e+00    4.264350e+03
  9.838394e+00    4.237906e+03
  9.891398e+00    4.215352e+03
  9.944403e+00    4.180495e+03
  9.997407e+00    4.160741e+03
  1.005041e+01    4.137243e+03
  1.010341e+01    4.073514e+03
  1.015642e+01    4.040969e+03
  1.020942e+01    4.018194e+03
  1.026243e+01    3.989563e+03
  1.031543e+01    4.009333e+03
  1.036844e+01    4.054143e+03
  1.042144e+01    4.026224e+03
  1.047444e+01    4.018579e+03
  1.052745e+01    3.999406e+03
  1.058045e+01    3.983542e+03
  1.063346e+01    3.973279e+03
  1.068646e+01    3.957017e+03
  1.073946e+01    3.939354e+03
  1.079247e+01    3.923606e+03
  1.084547e+01    3.900357e+03
  1.089848e+01    3.885235e+03
  1.095148e+01    3.862848e+03
  1.100448e+01    3.844815e+03
  1.105749e+01    3.826731e+03
  1.111049e+01    3.812538e+03
  1.116350e+01    3.785894e+03
  1.121650e+01    3.776141e+03
  1.126951e+01    3.757194e+03
  1.132251e+01    3.745125e+03
  1.137551e+01    3.730022e+03
  1.142852e+01    3.722270e+03
  1.148152e+01    3.711507e+03
  1.153453e+01    3.704671e+03
  1.158753e+01    3.697963e+03
  1.164053e+01    3.689586e+03
  1.169354e+01    3.694023e+03
  1.174654e+01    3.719604e+03
  1.179955e+01    3.699763e+03
  1.185255e+01    3.693516e+03
  1.190555e+01    3.688802e+03
  1.195856e+01    3.692281e+03
  1.201156e+01    3.693485e+03
  1.206457e+01    3.690918e+03
  1.211757e+01    3.700124e+03
  1.217057e+01    3.704041e+03
  1.222358e+01    3.697841e+03
  1.227658e+01    3.699257e+03
  1.232959e+01    3.701727e+03
  1.238259e+01    3.688676e+03
  1.243560e+01    3.687568e+03
  1.248860e+01    3.676051e+03
  1.254160e+01    3.668872e+03
  1.259461e+01    3.659964e+03
  1.264761e+01    3.644582e+03
  1.270062e+01    3.624258e+03
  1.275362e+01    3.604611e+03
  1.280662e+01    3.584425e+03
  1.285963e+01    3.568271e+03
  1.291263e+01    3.545802e+03
  1.296564e+01    3.523285e+03
  1.301864e+01    3.504319e+03
  1.307164e+01    3.485421e+03
  1.312465e+01    3.461185e+03
  1.317765e+01    3.439948e+03
  1.323066e+01    3.392346e+03
  1.328366e+01    3.362793e+03
  1.333667e+01    3.338442e+03
  1.338967e+01    3.318342e+03
  1.344267e+01    3.360766e+03
  1.349568e+01    3.340082e+03
  1.354868e+01    3.320707e+03
  1.360169e+01    3.305252e+03
  1.365469e+01    3.289839e+03
  1.370769e+01    3.279339e+03
  1.376070e+01    3.261285e+03
  1.381370e+01    3.249654e+03
  1.386671e+01    3.236844e+03
  1.391971e+01    3.225143e+03
  1.397271e+01    3.219803e+03
  1.402572e+01    3.209902e+03
  1.407872e+01    3.199864e+03
  1.413173e+01    3.189144e+03
  1.418473e+01    3.183669e+03
  1.423773e+01    3.174707e+03
  1.429074e+01    3.162307e+03
  1.434374e+01    3.159814e+03
  1.439675e+01    3.146116e+03
  1.444975e+01    3.140181e+03
  1.450276e+01    3.126276e+03
  1.455576e+01    3.114439e+03
  1.460876e+01    3.112011e+03
  1.466177e+01    3.104213e+03
  1.471477e+01    3.103596e+03
  1.476778e+01    3.102743e+03
  1.482078e+01    3.098199e+03
  1.487378e+01    3.090678e+03
  1.492679e+01    3.085044e+03
  1.497979e+01    3.076536e+03
  1.503280e+01    3.073300e+03
  1.508580e+01    3.072278e+03
  1.513880e+01    3.070365e+03
  1.519181e+01    3.083505e+03
  1.524481e+01    3.120294e+03
  1.529782e+01    3.085770e+03
  1.535082e+01    3.066128e+03
  1.540382e+01    3.052888e+03
  1.545683e+01    3.039515e+03
  1.550983e+01    3.045234e+03
  1.556284e+01    3.037887e+03
  1.561584e+01    3.027966e+03
  1.566885e+01    3.020177e+03
  1.572185e+01    3.014626e+03
  1.577485e+01    3.009181e+03
  1.582786e+01    3.000317e+03
  1.588086e+01    2.993083e+03
  1.593387e+01    2.988683e+03
  1.598687e+01    2.982448e+03
  1.603987e+01    2.959816e+03
  1.609288e+01    2.941545e+03
  1.614588e+01    2.930865e+03
  1.619889e+01    2.943734e+03
  1.625189e+01    2.966538e+03
  1.630489e+01    2.954729e+03
  1.635790e+01    2.950977e+03
  1.641090e+01    2.943926e+03
  1.646391e+01    2.932414e+03
  1.651691e+01    2.932251e+03
  1.656992e+01    2.923275e+03
  1.662292e+01    2.918418e+03
  1.667592e+01    2.915641e+03
