# == pyFAI calibration ==
# Distance Sample to Detector: 0.2945755399789714 m
# PONI: 2.880e-01, 2.450e-01 m
# Rotations: -0.007291 -0.010887 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.601 mm
# Center: x=1437.174, y=1655.617 pix
# Tilt: 0.751 deg  TiltPlanRot: -56.193 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.9
# Normalization factor: 1.0
# --> /gpfs/current/raw/empty_cap/cap_20231023_183613_00004.dat
#        q_A^-1             I 
  3.263564e-02             nan
  8.563974e-02             nan
  1.386438e-01             nan
  1.916479e-01             nan
  2.446520e-01    2.780109e+04
  2.976561e-01    3.140828e+04
  3.506602e-01    3.345466e+04
  4.036643e-01    3.644151e+04
  4.566684e-01    3.690859e+04
  5.096725e-01    3.630553e+04
  5.626766e-01    3.573465e+04
  6.156807e-01    3.478527e+04
  6.686848e-01    3.359881e+04
  7.216890e-01    3.246459e+04
  7.746931e-01    3.113213e+04
  8.276972e-01    3.018530e+04
  8.807013e-01    2.927262e+04
  9.337054e-01    2.863258e+04
  9.867095e-01    2.800900e+04
  1.039714e+00    2.776111e+04
  1.092718e+00    2.776578e+04
  1.145722e+00    2.822784e+04
  1.198726e+00    2.899998e+04
  1.251730e+00    2.998973e+04
  1.304734e+00    3.145604e+04
  1.357738e+00    3.299176e+04
  1.410742e+00    3.437494e+04
  1.463746e+00    3.510686e+04
  1.516750e+00    3.501905e+04
  1.569755e+00    3.379915e+04
  1.622759e+00    3.217507e+04
  1.675763e+00    3.002972e+04
  1.728767e+00    2.776585e+04
  1.781771e+00    2.564502e+04
  1.834775e+00    2.381362e+04
  1.887779e+00    2.211436e+04
  1.940783e+00    2.080742e+04
  1.993787e+00    1.962813e+04
  2.046791e+00    1.858291e+04
  2.099796e+00    1.772443e+04
  2.152800e+00    1.698353e+04
  2.205804e+00    1.631637e+04
  2.258808e+00    1.574837e+04
  2.311812e+00    1.522994e+04
  2.364816e+00    1.477491e+04
  2.417820e+00    1.435231e+04
  2.470824e+00    1.392702e+04
  2.523828e+00    1.351739e+04
  2.576832e+00    1.305327e+04
  2.629837e+00    1.263310e+04
  2.682841e+00    1.221322e+04
  2.735845e+00    1.187853e+04
  2.788849e+00    1.163641e+04
  2.841853e+00    1.148987e+04
  2.894857e+00    1.140963e+04
  2.947861e+00    1.137212e+04
  3.000865e+00    1.134817e+04
  3.053869e+00    1.118954e+04
  3.106874e+00    1.101431e+04
  3.159878e+00    1.089438e+04
  3.212882e+00    1.074026e+04
  3.265886e+00    1.064097e+04
  3.318890e+00    1.060702e+04
  3.371894e+00    1.058593e+04
  3.424898e+00    1.045916e+04
  3.477902e+00    1.036242e+04
  3.530906e+00    1.026260e+04
  3.583910e+00    1.015628e+04
  3.636915e+00    1.012254e+04
  3.689919e+00    1.005442e+04
  3.742923e+00    9.990703e+03
  3.795927e+00    9.973056e+03
  3.848931e+00    9.951158e+03
  3.901935e+00    9.957365e+03
  3.954939e+00    9.986693e+03
  4.007943e+00    1.002800e+04
  4.060947e+00    1.004542e+04
  4.113951e+00    1.010643e+04
  4.166956e+00    1.016182e+04
  4.219960e+00    1.018006e+04
  4.272964e+00    1.021625e+04
  4.325968e+00    1.023227e+04
  4.378972e+00    1.022669e+04
  4.431976e+00    1.020266e+04
  4.484980e+00    1.014051e+04
  4.537984e+00    1.012963e+04
  4.590988e+00    1.007492e+04
  4.643992e+00    1.000069e+04
  4.696997e+00    9.965515e+03
  4.750001e+00    9.945757e+03
  4.803005e+00    9.899426e+03
  4.856009e+00    9.874817e+03
  4.909013e+00    9.880066e+03
  4.962017e+00    9.896036e+03
  5.015021e+00    9.917672e+03
  5.068025e+00    9.886744e+03
  5.121029e+00    9.822795e+03
  5.174033e+00    9.695574e+03
  5.227038e+00    9.516765e+03
  5.280042e+00    9.261258e+03
  5.333046e+00    8.933920e+03
  5.386050e+00    8.589962e+03
  5.439054e+00    8.229247e+03
  5.492058e+00    7.876592e+03
  5.545062e+00    7.583164e+03
  5.598066e+00    7.301142e+03
  5.651070e+00    7.088389e+03
  5.704074e+00    6.917876e+03
  5.757079e+00    6.781051e+03
  5.810083e+00    6.681348e+03
  5.863087e+00    6.593833e+03
  5.916091e+00    6.527053e+03
  5.969095e+00    6.493740e+03
  6.022099e+00    6.460816e+03
  6.075103e+00    6.432415e+03
  6.128107e+00    6.403640e+03
  6.181111e+00    6.382312e+03
  6.234115e+00    6.369633e+03
  6.287120e+00    6.349733e+03
  6.340124e+00    6.305751e+03
  6.393128e+00    6.284689e+03
  6.446132e+00    6.239905e+03
  6.499136e+00    6.190901e+03
  6.552140e+00    6.143770e+03
  6.605144e+00    6.098100e+03
  6.658148e+00    6.001584e+03
  6.711152e+00    5.885578e+03
  6.764156e+00    5.817813e+03
  6.817161e+00    5.733951e+03
  6.870165e+00    5.651548e+03
  6.923169e+00    5.619870e+03
  6.976173e+00    5.656274e+03
  7.029177e+00    5.595820e+03
  7.082181e+00    5.538898e+03
  7.135185e+00    5.479127e+03
  7.188189e+00    5.432065e+03
  7.241193e+00    5.384392e+03
  7.294197e+00    5.359847e+03
  7.347202e+00    5.327118e+03
  7.400206e+00    5.311359e+03
  7.453210e+00    5.282328e+03
  7.506214e+00    5.287038e+03
  7.559218e+00    5.299348e+03
  7.612222e+00    5.310824e+03
  7.665226e+00    5.314283e+03
  7.718230e+00    5.337126e+03
  7.771234e+00    5.362956e+03
  7.824239e+00    5.400155e+03
  7.877243e+00    5.475293e+03
  7.930247e+00    5.451300e+03
  7.983251e+00    5.417152e+03
  8.036255e+00    5.402665e+03
  8.089259e+00    5.380502e+03
  8.142263e+00    5.359203e+03
  8.195267e+00    5.338533e+03
  8.248271e+00    5.313718e+03
  8.301275e+00    5.277556e+03
  8.354280e+00    5.245426e+03
  8.407284e+00    5.211021e+03
  8.460288e+00    5.180484e+03
  8.513292e+00    5.154107e+03
  8.566296e+00    5.135676e+03
  8.619300e+00    5.094359e+03
  8.672304e+00    5.061311e+03
  8.725308e+00    5.036253e+03
  8.778312e+00    4.990804e+03
  8.831316e+00    4.948662e+03
  8.884321e+00    4.924954e+03
  8.937325e+00    4.879048e+03
  8.990329e+00    4.838892e+03
  9.043333e+00    4.805786e+03
  9.096337e+00    4.760626e+03
  9.149341e+00    4.719034e+03
  9.202345e+00    4.681340e+03
  9.255349e+00    4.643727e+03
  9.308353e+00    4.608061e+03
  9.361357e+00    4.578221e+03
  9.414362e+00    4.528392e+03
  9.467366e+00    4.499842e+03
  9.520370e+00    4.460262e+03
  9.573374e+00    4.419159e+03
  9.626378e+00    4.391863e+03
  9.679382e+00    4.361227e+03
  9.732386e+00    4.327258e+03
  9.785390e+00    4.293890e+03
  9.838394e+00    4.266625e+03
  9.891398e+00    4.244386e+03
  9.944403e+00    4.208685e+03
  9.997407e+00    4.188016e+03
  1.005041e+01    4.163802e+03
  1.010341e+01    4.100311e+03
  1.015642e+01    4.068390e+03
  1.020942e+01    4.043235e+03
  1.026243e+01    4.018749e+03
  1.031543e+01    4.037288e+03
  1.036844e+01    4.080357e+03
  1.042144e+01    4.053761e+03
  1.047444e+01    4.045978e+03
  1.052745e+01    4.025445e+03
  1.058045e+01    4.013565e+03
  1.063346e+01    3.997813e+03
  1.068646e+01    3.987189e+03
  1.073946e+01    3.964725e+03
  1.079247e+01    3.948023e+03
  1.084547e+01    3.926834e+03
  1.089848e+01    3.912239e+03
  1.095148e+01    3.888862e+03
  1.100448e+01    3.870292e+03
  1.105749e+01    3.850605e+03
  1.111049e+01    3.837933e+03
  1.116350e+01    3.810099e+03
  1.121650e+01    3.800337e+03
  1.126951e+01    3.783078e+03
  1.132251e+01    3.771908e+03
  1.137551e+01    3.754679e+03
  1.142852e+01    3.747913e+03
  1.148152e+01    3.734682e+03
  1.153453e+01    3.729143e+03
  1.158753e+01    3.723513e+03
  1.164053e+01    3.713040e+03
  1.169354e+01    3.715597e+03
  1.174654e+01    3.746366e+03
  1.179955e+01    3.723896e+03
  1.185255e+01    3.718261e+03
  1.190555e+01    3.713468e+03
  1.195856e+01    3.717694e+03
  1.201156e+01    3.721001e+03
  1.206457e+01    3.712544e+03
  1.211757e+01    3.725703e+03
  1.217057e+01    3.728900e+03
  1.222358e+01    3.723545e+03
  1.227658e+01    3.724020e+03
  1.232959e+01    3.725101e+03
  1.238259e+01    3.711585e+03
  1.243560e+01    3.715442e+03
  1.248860e+01    3.699963e+03
  1.254160e+01    3.693861e+03
  1.259461e+01    3.683821e+03
  1.264761e+01    3.668133e+03
  1.270062e+01    3.646923e+03
  1.275362e+01    3.627679e+03
  1.280662e+01    3.611298e+03
  1.285963e+01    3.593570e+03
  1.291263e+01    3.567766e+03
  1.296564e+01    3.546630e+03
  1.301864e+01    3.527167e+03
  1.307164e+01    3.506392e+03
  1.312465e+01    3.482906e+03
  1.317765e+01    3.460125e+03
  1.323066e+01    3.414711e+03
  1.328366e+01    3.384813e+03
  1.333667e+01    3.361288e+03
  1.338967e+01    3.343375e+03
  1.344267e+01    3.386289e+03
  1.349568e+01    3.359296e+03
  1.354868e+01    3.344953e+03
  1.360169e+01    3.328562e+03
  1.365469e+01    3.310631e+03
  1.370769e+01    3.302333e+03
  1.376070e+01    3.281452e+03
  1.381370e+01    3.272651e+03
  1.386671e+01    3.258659e+03
  1.391971e+01    3.246183e+03
  1.397271e+01    3.241269e+03
  1.402572e+01    3.233096e+03
  1.407872e+01    3.221702e+03
  1.413173e+01    3.209974e+03
  1.418473e+01    3.204340e+03
  1.423773e+01    3.197404e+03
  1.429074e+01    3.181285e+03
  1.434374e+01    3.182122e+03
  1.439675e+01    3.168336e+03
  1.444975e+01    3.158798e+03
  1.450276e+01    3.149655e+03
  1.455576e+01    3.138015e+03
  1.460876e+01    3.132266e+03
  1.466177e+01    3.124530e+03
  1.471477e+01    3.123443e+03
  1.476778e+01    3.123892e+03
  1.482078e+01    3.119826e+03
  1.487378e+01    3.111719e+03
  1.492679e+01    3.104620e+03
  1.497979e+01    3.097473e+03
  1.503280e+01    3.093086e+03
  1.508580e+01    3.090764e+03
  1.513880e+01    3.092165e+03
  1.519181e+01    3.106691e+03
  1.524481e+01    3.143048e+03
  1.529782e+01    3.105082e+03
  1.535082e+01    3.087688e+03
  1.540382e+01    3.072618e+03
  1.545683e+01    3.058308e+03
  1.550983e+01    3.065111e+03
  1.556284e+01    3.056746e+03
  1.561584e+01    3.049100e+03
  1.566885e+01    3.038875e+03
  1.572185e+01    3.034558e+03
  1.577485e+01    3.030319e+03
  1.582786e+01    3.020909e+03
  1.588086e+01    3.015137e+03
  1.593387e+01    3.008207e+03
  1.598687e+01    3.002971e+03
  1.603987e+01    2.979684e+03
  1.609288e+01    2.962669e+03
  1.614588e+01    2.949739e+03
  1.619889e+01    2.964843e+03
  1.625189e+01    2.983720e+03
  1.630489e+01    2.973626e+03
  1.635790e+01    2.969566e+03
  1.641090e+01    2.965110e+03
  1.646391e+01    2.954476e+03
  1.651691e+01    2.953422e+03
  1.656992e+01    2.946400e+03
  1.662292e+01    2.936722e+03
  1.667592e+01    2.935889e+03
