# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/empty_cap/average_empty_cap.dat
#        q_A^-1             I 
  4.084424e-01    3.910873e+03
  4.136756e-01    3.936392e+03
  4.189087e-01    3.969267e+03
  4.241419e-01    4.128039e+03
  4.293751e-01    4.237392e+03
  4.346082e-01    4.305609e+03
  4.398414e-01    4.323648e+03
  4.450745e-01    4.315198e+03
  4.503077e-01    4.330573e+03
  4.555409e-01    4.348324e+03
  4.607740e-01    4.392667e+03
  4.660072e-01    4.430202e+03
  4.712403e-01    4.459159e+03
  4.764735e-01    4.482904e+03
  4.817066e-01    4.508270e+03
  4.869398e-01    4.531732e+03
  4.921730e-01    4.550943e+03
  4.974061e-01    4.579895e+03
  5.026393e-01    4.603648e+03
  5.078724e-01    4.637743e+03
  5.131056e-01    4.678237e+03
  5.183387e-01    4.731262e+03
  5.235719e-01    4.775799e+03
  5.288051e-01    4.832102e+03
  5.340382e-01    4.886263e+03
  5.392714e-01    4.939186e+03
  5.445045e-01    4.977267e+03
  5.497377e-01    5.022216e+03
  5.549709e-01    5.063689e+03
  5.602040e-01    5.111131e+03
  5.654372e-01    5.156569e+03
  5.706703e-01    5.211026e+03
  5.759035e-01    5.262768e+03
  5.811366e-01    5.317847e+03
  5.863698e-01    5.372969e+03
  5.916030e-01    5.427808e+03
  5.968361e-01    5.475927e+03
  6.020693e-01    5.533223e+03
  6.073024e-01    5.588300e+03
  6.125356e-01    5.630941e+03
  6.177688e-01    5.663367e+03
  6.230019e-01    5.697662e+03
  6.282351e-01    5.727872e+03
  6.334682e-01    5.763502e+03
  6.387014e-01    5.812791e+03
  6.439345e-01    5.859913e+03
  6.491677e-01    5.901143e+03
  6.544009e-01    5.946551e+03
  6.596340e-01    5.989808e+03
  6.648672e-01    6.027713e+03
  6.701003e-01    6.061657e+03
  6.753335e-01    6.097846e+03
  6.805666e-01    6.135443e+03
  6.857998e-01    6.169885e+03
  6.910330e-01    6.216928e+03
  6.962661e-01    6.250787e+03
  7.014993e-01    6.278784e+03
  7.067324e-01    6.315553e+03
  7.119656e-01    6.354605e+03
  7.171988e-01    6.401097e+03
  7.224319e-01    6.441905e+03
  7.276651e-01    6.500849e+03
  7.328982e-01    6.527529e+03
  7.381314e-01    6.546102e+03
  7.433645e-01    6.577595e+03
  7.485977e-01    6.596179e+03
  7.538309e-01    6.615393e+03
  7.590640e-01    6.632187e+03
  7.642972e-01    6.646186e+03
  7.695303e-01    6.672225e+03
  7.747635e-01    6.683415e+03
  7.799966e-01    6.729326e+03
  7.852298e-01    6.769164e+03
  7.904630e-01    6.805613e+03
  7.956961e-01    6.831040e+03
  8.009293e-01    6.843330e+03
  8.061624e-01    6.871455e+03
  8.113956e-01    6.906697e+03
  8.166288e-01    6.954667e+03
  8.218619e-01    6.971799e+03
  8.270951e-01    6.989115e+03
  8.323282e-01    7.005274e+03
  8.375614e-01    7.014597e+03
  8.427945e-01    7.036290e+03
  8.480277e-01    7.063790e+03
  8.532609e-01    7.102463e+03
  8.584940e-01    7.124635e+03
  8.637272e-01    7.144467e+03
  8.689603e-01    7.159400e+03
  8.741935e-01    7.165904e+03
  8.794266e-01    7.172815e+03
  8.846598e-01    7.198037e+03
  8.898930e-01    7.237404e+03
  8.951261e-01    7.275368e+03
