# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_01046.dat
#        q_A^-1             I 
  4.084424e-01    1.051688e+04
  4.136756e-01    1.090018e+04
  4.189087e-01    1.089501e+04
  4.241419e-01    1.142659e+04
  4.293751e-01    1.157843e+04
  4.346082e-01    1.151826e+04
  4.398414e-01    1.124032e+04
  4.450745e-01    1.096580e+04
  4.503077e-01    1.083052e+04
  4.555409e-01    1.073011e+04
  4.607740e-01    1.058981e+04
  4.660072e-01    1.041467e+04
  4.712403e-01    1.026574e+04
  4.764735e-01    1.006130e+04
  4.817066e-01    9.853354e+03
  4.869398e-01    9.667673e+03
  4.921730e-01    9.505004e+03
  4.974061e-01    9.332010e+03
  5.026393e-01    9.158979e+03
  5.078724e-01    9.041303e+03
  5.131056e-01    8.897008e+03
  5.183387e-01    8.793433e+03
  5.235719e-01    8.699483e+03
  5.288051e-01    8.622488e+03
  5.340382e-01    8.533429e+03
  5.392714e-01    8.453657e+03
  5.445045e-01    8.375066e+03
  5.497377e-01    8.282635e+03
  5.549709e-01    8.210641e+03
  5.602040e-01    8.174623e+03
  5.654372e-01    8.111629e+03
  5.706703e-01    8.070073e+03
  5.759035e-01    8.033840e+03
  5.811366e-01    8.013445e+03
  5.863698e-01    7.970010e+03
  5.916030e-01    7.936307e+03
  5.968361e-01    7.914444e+03
  6.020693e-01    7.904390e+03
  6.073024e-01    7.896845e+03
  6.125356e-01    7.877789e+03
  6.177688e-01    7.840654e+03
  6.230019e-01    7.801370e+03
  6.282351e-01    7.772028e+03
  6.334682e-01    7.754021e+03
  6.387014e-01    7.744486e+03
  6.439345e-01    7.738050e+03
  6.491677e-01    7.735276e+03
  6.544009e-01    7.733784e+03
  6.596340e-01    7.732910e+03
  6.648672e-01    7.737260e+03
  6.701003e-01    7.731001e+03
  6.753335e-01    7.727219e+03
  6.805666e-01    7.734005e+03
  6.857998e-01    7.729737e+03
  6.910330e-01    7.742768e+03
  6.962661e-01    7.745113e+03
  7.014993e-01    7.743867e+03
  7.067324e-01    7.743714e+03
  7.119656e-01    7.739644e+03
  7.171988e-01    7.758809e+03
  7.224319e-01    7.774855e+03
  7.276651e-01    7.816002e+03
  7.328982e-01    7.822863e+03
  7.381314e-01    7.817137e+03
  7.433645e-01    7.822168e+03
