# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_4_second/FMue_4_second_20231025_051245_00117.dat
#        q_A^-1             I 
  4.084424e-01    1.203342e+04
  4.136756e-01    1.253780e+04
  4.189087e-01    1.255339e+04
  4.241419e-01    1.314470e+04
  4.293751e-01    1.331213e+04
  4.346082e-01    1.324041e+04
  4.398414e-01    1.291161e+04
  4.450745e-01    1.258188e+04
  4.503077e-01    1.241353e+04
  4.555409e-01    1.228557e+04
  4.607740e-01    1.210404e+04
  4.660072e-01    1.187123e+04
  4.712403e-01    1.166356e+04
  4.764735e-01    1.140814e+04
  4.817066e-01    1.114578e+04
  4.869398e-01    1.092349e+04
  4.921730e-01    1.070794e+04
  4.974061e-01    1.047389e+04
  5.026393e-01    1.025311e+04
  5.078724e-01    1.010390e+04
  5.131056e-01    9.918851e+03
  5.183387e-01    9.780808e+03
  5.235719e-01    9.658100e+03
  5.288051e-01    9.561831e+03
  5.340382e-01    9.439021e+03
  5.392714e-01    9.332326e+03
  5.445045e-01    9.221239e+03
  5.497377e-01    9.095014e+03
  5.549709e-01    8.991658e+03
  5.602040e-01    8.934364e+03
  5.654372e-01    8.853146e+03
  5.706703e-01    8.792492e+03
  5.759035e-01    8.732952e+03
  5.811366e-01    8.689243e+03
  5.863698e-01    8.634086e+03
  5.916030e-01    8.596176e+03
  5.968361e-01    8.562954e+03
  6.020693e-01    8.516613e+03
  6.073024e-01    8.482384e+03
  6.125356e-01    8.451821e+03
  6.177688e-01    8.398579e+03
  6.230019e-01    8.348382e+03
  6.282351e-01    8.295767e+03
  6.334682e-01    8.265986e+03
  6.387014e-01    8.245758e+03
  6.439345e-01    8.233099e+03
  6.491677e-01    8.227818e+03
  6.544009e-01    8.218435e+03
  6.596340e-01    8.206126e+03
  6.648672e-01    8.191274e+03
  6.701003e-01    8.169028e+03
  6.753335e-01    8.146972e+03
  6.805666e-01    8.139246e+03
  6.857998e-01    8.131732e+03
  6.910330e-01    8.124489e+03
  6.962661e-01    8.121767e+03
  7.014993e-01    8.112548e+03
  7.067324e-01    8.108968e+03
  7.119656e-01    8.107788e+03
  7.171988e-01    8.128375e+03
  7.224319e-01    8.140354e+03
  7.276651e-01    8.175148e+03
  7.328982e-01    8.173770e+03
  7.381314e-01    8.156440e+03
  7.433645e-01    8.144954e+03
  7.485977e-01    8.130000e+03
  7.538309e-01    8.125797e+03
  7.590640e-01    8.114230e+03
  7.642972e-01    8.094556e+03
  7.695303e-01    8.096061e+03
  7.747635e-01    8.079904e+03
  7.799966e-01    8.113110e+03
  7.852298e-01    8.149237e+03
  7.904630e-01    8.177773e+03
  7.956961e-01    8.182693e+03
  8.009293e-01    8.170281e+03
  8.061624e-01    8.178347e+03
  8.113956e-01    8.200674e+03
  8.166288e-01    8.241266e+03
  8.218619e-01    8.244629e+03
  8.270951e-01    8.245007e+03
  8.323282e-01    8.237615e+03
  8.375614e-01    8.236939e+03
  8.427945e-01    8.243742e+03
  8.480277e-01    8.255105e+03
  8.532609e-01    8.284451e+03
  8.584940e-01    8.300334e+03
  8.637272e-01    8.304242e+03
  8.689603e-01    8.283709e+03
  8.741935e-01    8.271771e+03
  8.794266e-01    8.269894e+03
  8.846598e-01    8.297403e+03
  8.898930e-01    8.336317e+03
  8.951261e-01    8.366585e+03
  9.003593e-01    8.389807e+03
  9.055924e-01    8.417175e+03
  9.108256e-01    8.437195e+03
  9.160588e-01    8.451771e+03
  9.212919e-01    8.458437e+03
  9.265251e-01    8.457088e+03
  9.317582e-01    8.470858e+03
  9.369914e-01    8.481176e+03
  9.422245e-01    8.490548e+03
  9.474577e-01    8.528804e+03
  9.526909e-01    8.551513e+03
  9.579240e-01    8.570154e+03
  9.631572e-01    8.566858e+03
  9.683903e-01    8.569459e+03
  9.736235e-01    8.604646e+03
  9.788567e-01    8.632645e+03
  9.840898e-01    8.654838e+03
  9.893230e-01    8.698188e+03
  9.945561e-01    8.735537e+03
  9.997893e-01    8.755331e+03
  1.005022e+00    8.766328e+03
  1.010256e+00    8.777199e+03
  1.015489e+00    8.808497e+03
  1.020722e+00    8.832913e+03
  1.025955e+00    8.869043e+03
  1.031188e+00    8.916273e+03
  1.036421e+00    8.958957e+03
  1.041655e+00    9.009607e+03
  1.046888e+00    9.044959e+03
  1.052121e+00    9.082398e+03
  1.057354e+00    9.112449e+03
  1.062587e+00    9.154610e+03
  1.067820e+00    9.188513e+03
  1.073053e+00    9.208649e+03
  1.078287e+00    9.235416e+03
  1.083520e+00    9.262410e+03
  1.088753e+00    9.298137e+03
  1.093986e+00    9.366482e+03
  1.099219e+00    9.446844e+03
  1.104452e+00    9.522978e+03
  1.109686e+00    9.607927e+03
  1.114919e+00    9.676651e+03
  1.120152e+00    9.742830e+03
  1.125385e+00    9.774816e+03
  1.130618e+00    9.816644e+03
  1.135851e+00    9.882388e+03
  1.141085e+00    9.949640e+03
  1.146318e+00    1.002681e+04
  1.151551e+00    1.010738e+04
  1.156784e+00    1.014528e+04
  1.162017e+00    1.020254e+04
  1.167250e+00    1.027930e+04
  1.172483e+00    1.033800e+04
  1.177717e+00    1.040316e+04
  1.182950e+00    1.046992e+04
  1.188183e+00    1.056534e+04
  1.193416e+00    1.067319e+04
  1.198649e+00    1.074797e+04
  1.203882e+00    1.083649e+04
  1.209116e+00    1.087516e+04
  1.214349e+00    1.093108e+04
  1.219582e+00    1.102435e+04
  1.224815e+00    1.112125e+04
  1.230048e+00    1.120987e+04
  1.235281e+00    1.129287e+04
  1.240515e+00    1.141109e+04
  1.245748e+00    1.152252e+04
  1.250981e+00    1.165122e+04
  1.256214e+00    1.181022e+04
  1.261447e+00    1.192708e+04
  1.266680e+00    1.202845e+04
  1.271913e+00    1.217607e+04
  1.277147e+00    1.234383e+04
  1.282380e+00    1.250339e+04
  1.287613e+00    1.266937e+04
  1.292846e+00    1.287499e+04
  1.298079e+00    1.303404e+04
  1.303312e+00    1.318385e+04
  1.308546e+00    1.336112e+04
  1.313779e+00    1.350233e+04
  1.319012e+00    1.364310e+04
  1.324245e+00    1.378243e+04
  1.329478e+00    1.394897e+04
  1.334711e+00    1.408277e+04
  1.339945e+00    1.421035e+04
  1.345178e+00    1.434081e+04
  1.350411e+00    1.442983e+04
  1.355644e+00    1.451205e+04
  1.360877e+00    1.461540e+04
